"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Drug toxicity (C0013221) [DisGeNET]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"
"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"
"Adverse reaction (08.06.01.018) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"
"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 4"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 4"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 4"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 4"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 4"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 4"
"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"
"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 6"
"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 7"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"
"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"
"Poisoning (12.03.01.004) [ADReCS]"	" 7"	"Drug toxicity (C0013221) [DisGeNET]"	" 9"	"Drug toxicity (C0013221) [DisGeNET]"	" 9"	"Drug toxicity (C0013221) [DisGeNET]"	" 9"	"Drug toxicity (C0013221) [DisGeNET]"	" 9"	"Drug toxicity (C0013221) [DisGeNET]"	" 9"
"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"
