"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Poisoning (12.03.01.004) [ADReCS]"	" 1"	"Poisoning (12.03.01.004) [ADReCS]"	" 1"	"Poisoning (12.03.01.004) [ADReCS]"	" 1"	"Poisoning (12.03.01.004) [ADReCS]"	" 1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"
"Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"
"Cardiotoxicity (C0876994) [DisGeNET]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 3"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 3"	"Drug toxicity (C0013221) [DisGeNET]"	" 4"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 4"
"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 5"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"
"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 5"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 5"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 5"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 6"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"
"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 6"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"
"Drug toxicity (C0013221) [DisGeNET]"	" 7"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 7"	"Drug toxicity (C0013221) [DisGeNET]"	" 7"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 7"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"
"Cardiotoxicity (MESH:D066126) [CTD]"	" 8"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 8"	"Drug toxicity (C0013221) [DisGeNET]"	" 8"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 8"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 8"
"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 9"
"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"
