"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Focal adhesion (hsa04510)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 1"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 2"	"Toll-like receptor signaling pathway (hsa04620)"	" 3"	"Focal adhesion (hsa04510)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 2"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"
"Chemokine signaling pathway (hsa04062)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 3"
"MAPK signaling pathway (hsa04010)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 4"	"Focal adhesion (hsa04510)"	" 4"
"VEGF signaling pathway (hsa04370)"	" 5"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 5"	"ErbB signaling pathway (hsa04012)"	" 5"	"VEGF signaling pathway (hsa04370)"	" 5"	"Choline metabolism in cancer (hsa05231)"	" 5"	"ErbB signaling pathway (hsa04012)"	" 5"
"T cell receptor signaling pathway (hsa04660)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 5"	"VEGF signaling pathway (hsa04370)"	" 6"
"Proteoglycans in cancer (hsa05205)"	" 7"	"T cell receptor signaling pathway (hsa04660)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 7"	"ErbB signaling pathway (hsa04012)"	" 7"	"Proteoglycans in cancer (hsa05205)"	" 7"
"Rap1 signaling pathway (hsa04015)"	" 8"	"Rap1 signaling pathway (hsa04015)"	" 8"	"Rap1 signaling pathway (hsa04015)"	" 8"	"Rap1 signaling pathway (hsa04015)"	" 9"	"T cell receptor signaling pathway (hsa04660)"	" 8"	"Rap1 signaling pathway (hsa04015)"	" 8"
"Choline metabolism in cancer (hsa05231)"	" 9"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 9"	"T cell receptor signaling pathway (hsa04660)"	" 9"	"T cell receptor signaling pathway (hsa04660)"	" 9"	"Toll-like receptor signaling pathway (hsa04620)"	" 9"	"Choline metabolism in cancer (hsa05231)"	" 9"
"ErbB signaling pathway (hsa04012)"	"11"	"Chemokine signaling pathway (hsa04062)"	"10"	"PI3K-Akt signaling pathway (hsa04151)"	"10"	"Toll-like receptor signaling pathway (hsa04620)"	"10"	"Sphingolipid signaling pathway (hsa04071)"	"11"	"TNF signaling pathway (hsa04668)"	"10"
