"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 1"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"1"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 1"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"1"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 1"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 1"
"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 2"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"2"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 2"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"2"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 2"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 2"
"Drug toxicity (C0013221) [DisGeNET]"	" 3"	"Drug toxicity (C0013221) [DisGeNET]"	"3"	"Drug toxicity (C0013221) [DisGeNET]"	" 3"	"Drug toxicity (C0013221) [DisGeNET]"	"3"	"Drug toxicity (C0013221) [DisGeNET]"	" 3"	"Drug toxicity (C0013221) [DisGeNET]"	" 3"
"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"Adverse reaction (08.06.01.018) [ADReCS]"	"4"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"Adverse reaction (08.06.01.018) [ADReCS]"	"4"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 4"
"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"5"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"6"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 5"	"Poisoning (12.03.01.004) [ADReCS]"	" 5"
"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"6"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"
"Poisoning (12.03.01.004) [ADReCS]"	" 7"	"Cardiotoxicity (MESH:D066126) [CTD]"	"8"	"Poisoning (12.03.01.004) [ADReCS]"	" 7"	"Poisoning (12.03.01.004) [ADReCS]"	"7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"
"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	"8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	"8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"
"Neurotoxicity (12.03.01.011) [ADReCS]"	" 9"	"Neurotoxicity (12.03.01.011) [ADReCS]"	"9"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 8"	"Neurotoxicity (12.03.01.011) [ADReCS]"	"9"	"Poisoning (12.03.01.004) [ADReCS]"	" 9"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 9"
"Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"9"	"Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"Cardiotoxicity (MESH:D066126) [CTD]"	"9"	"Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"Cardiotoxicity (MESH:D066126) [CTD]"	"10"
