"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"
"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[proximity_shortest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"
"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"
"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 4"
"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"
"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"
"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	" 7"
"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 8"	"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	" 8"
"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	" 9"	"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	" 9"	"[proximity_closest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 9"	"[proximity_closest] Neurotoxicity (12.03.01.011) [ADReCS]"	" 9"
"[proximity_centre] Adverse reaction (08.06.01.018) [ADReCS]"	"10"	"[proximity_shortest] Drug toxicity (C0013221) [DisGeNET]"	"10"	"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	"10"	"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	"10"	"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	"11"	"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"11"
"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"12"	"[proximity_centre] Adverse reaction (08.06.01.018) [ADReCS]"	"11"	"[proximity_shortest] Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"12"	"[proximity_shortest] Cardiotoxicity (MESH:D066126) [CTD]"	"12"	"[proximity_centre] Drug toxicity (C0013221) [DisGeNET]"	"12"
"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"13"	"[proximity_separation] Poisoning (12.03.01.004) [ADReCS]"	"13"	"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"12"	"[proximity_centre] Adverse reaction (08.06.01.018) [ADReCS]"	"12"	"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	"13"	"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"12"
"[proximity_shortest] Cardiotoxicity (MESH:D066126) [CTD]"	"14"	"[proximity_centre] Cardiotoxicity (MESH:D066126) [CTD]"	"13"	"[proximity_centre] Adverse reaction (08.06.01.018) [ADReCS]"	"12"	"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"13"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"14"	"[proximity_shortest] Cardiotoxicity (MESH:D066126) [CTD]"	"13"
"[proximity_closest] Neurotoxicity (12.03.01.011) [ADReCS]"	"14"	"[proximity_separation] Drug toxicity (C0013221) [DisGeNET]"	"16"	"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"13"	"[proximity_shortest] Cardiotoxicity (MESH:D066126) [CTD]"	"13"	"[proximity_centre] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"15"	"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	"14"
"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	"14"	"[proximity_shortest] Cardiotoxicity (C0876994) [DisGeNET]"	"17"	"[proximity_centre] Cardiotoxicity (MESH:D066126) [CTD]"	"15"	"[proximity_closest] Neurotoxicity (12.03.01.011) [ADReCS]"	"15"	"[proximity_centre] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"16"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"15"
"[proximity_centre] Neurotoxicity (12.03.01.011) [ADReCS]"	"16"	"[proximity_shortest] Poisoning (12.03.01.004) [ADReCS]"	"17"	"[proximity_centre] Poisoning (12.03.01.004) [ADReCS]"	"16"	"[proximity_centre] Neurotoxicity (12.03.01.011) [ADReCS]"	"16"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"17"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"16"
