"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 1"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 2"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Focal adhesion (hsa04510)"	" 2"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"
"Chemokine signaling pathway (hsa04062)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 3"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 3"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 3"
"VEGF signaling pathway (hsa04370)"	" 4"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"VEGF signaling pathway (hsa04370)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 4"	"Focal adhesion (hsa04510)"	" 4"
"T cell receptor signaling pathway (hsa04660)"	" 5"	"Choline metabolism in cancer (hsa05231)"	" 5"	"ErbB signaling pathway (hsa04012)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"ErbB signaling pathway (hsa04012)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 5"
"MAPK signaling pathway (hsa04010)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"
"Choline metabolism in cancer (hsa05231)"	" 7"	"Rap1 signaling pathway (hsa04015)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 7"	"T cell receptor signaling pathway (hsa04660)"	" 7"	"Toll-like receptor signaling pathway (hsa04620)"	" 7"	"Proteoglycans in cancer (hsa05205)"	" 7"
"Proteoglycans in cancer (hsa05205)"	" 9"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 8"	"T cell receptor signaling pathway (hsa04660)"	" 9"	"Toll-like receptor signaling pathway (hsa04620)"	" 8"	"Chemokine signaling pathway (hsa04062)"	" 7"	"Rap1 signaling pathway (hsa04015)"	" 8"
"Rap1 signaling pathway (hsa04015)"	"10"	"Chemokine signaling pathway (hsa04062)"	"10"	"Toll-like receptor signaling pathway (hsa04620)"	"10"	"Chemokine signaling pathway (hsa04062)"	" 8"	"T cell receptor signaling pathway (hsa04660)"	" 9"	"Choline metabolism in cancer (hsa05231)"	" 9"
"Toll-like receptor signaling pathway (hsa04620)"	"10"	"T cell receptor signaling pathway (hsa04660)"	"10"	"Rap1 signaling pathway (hsa04015)"	"10"	"Rap1 signaling pathway (hsa04015)"	"10"	"Sphingolipid signaling pathway (hsa04071)"	"10"	"TNF signaling pathway (hsa04668)"	"10"
