"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DISEASE] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"[DISEASE] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 1"	"[DISEASE] Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"[DISEASE] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 1"	"[DISEASE] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"[DISEASE] Cutaneous melanoma of the skin (CM)[Intogen]"	" 1"
"[DISEASE] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"[DISEASE] Renal papillary cell carcinoma (RPC)[Intogen]"	" 2"	"[DISEASE] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 2"	"[DISEASE] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"[DISEASE] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 2"	"[DISEASE] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 2"
"[DISEASE] breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 3"	"[DISEASE] Carcinoma, Renal Cell[PharmGKB_associated]"	" 3"	"[DISEASE] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 4"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 3"	"[DISEASE] Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"[DISEASE] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 3"
"[DISEASE] Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"[DISEASE] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 4"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"[DISEASE] Ovary cancer (OV)[Intogen]"	" 4"	"[DISEASE] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 4"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"
"[ADR] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"[DISEASE] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 6"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[DISEASE] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[DISEASE] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 5"
"[DISEASE] Breast carcinoma (EFO_0000305)[ThETA]"	" 6"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[DISEASE] Lung adenocarcinoma (LUAD)[Intogen]"	" 7"	"[DISEASE] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 6"	"[ADR] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"
"[ADR] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 7"	"[DISEASE] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 7"	"[DISEASE] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 8"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 7"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"[DISEASE] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 8"
"[DISEASE] Breast Neoplasms[PharmGKB_associated]"	" 8"	"[DISEASE] Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"[DISEASE] lung carcinoma (EFO_0001071)[ThETA]"	" 8"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[DISEASE] Prostate carcinoma (EFO_0001663)[ThETA]"	" 7"	"[DISEASE] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 8"
"[DISEASE] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"11"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"	"[DISEASE] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"10"	"[DISEASE] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 8"	"[DISEASE] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"10"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 9"
"[DISEASE] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"11"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	"10"	"[DISEASE] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"10"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"	"[ADR] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"10"	"[DISEASE] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"10"
