"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Toll-like receptor signaling pathway (hsa04620)"	" 1"
"Choline metabolism in cancer (hsa05231)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 2"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 2"
"Leukocyte transendothelial migration (hsa04670)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Focal adhesion (hsa04510)"	" 4"	"Focal adhesion (hsa04510)"	" 3"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Leukocyte transendothelial migration (hsa04670)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 4"
"Chemokine signaling pathway (hsa04062)"	" 5"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 5"	"Toll-like receptor signaling pathway (hsa04620)"	" 5"	"Toll-like receptor signaling pathway (hsa04620)"	" 6"	"Toll-like receptor signaling pathway (hsa04620)"	" 5"	"JAK-STAT signaling pathway (hsa04630)"	" 5"
"MAPK signaling pathway (hsa04010)"	" 5"	"Toll-like receptor signaling pathway (hsa04620)"	" 6"	"JAK-STAT signaling pathway (hsa04630)"	" 7"	"VEGF signaling pathway (hsa04370)"	" 6"	"Choline metabolism in cancer (hsa05231)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"
"VEGF signaling pathway (hsa04370)"	" 6"	"Gap junction (hsa04540)"	" 7"	"VEGF signaling pathway (hsa04370)"	" 7"	"Leukocyte transendothelial migration (hsa04670)"	" 7"	"ErbB signaling pathway (hsa04012)"	" 8"	"Choline metabolism in cancer (hsa05231)"	" 7"
"Toll-like receptor signaling pathway (hsa04620)"	" 7"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"10"	"ErbB signaling pathway (hsa04012)"	" 8"	"JAK-STAT signaling pathway (hsa04630)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 9"	"ErbB signaling pathway (hsa04012)"	" 9"
"Gap junction (hsa04540)"	" 8"	"Tight junction (hsa04530)"	"11"	"Leukocyte transendothelial migration (hsa04670)"	" 9"	"PI3K-Akt signaling pathway (hsa04151)"	"10"	"JAK-STAT signaling pathway (hsa04630)"	"10"	"Carbon metabolism (hsa01200)"	"10"
"JAK-STAT signaling pathway (hsa04630)"	" 9"	"VEGF signaling pathway (hsa04370)"	"11"	"Chemokine signaling pathway (hsa04062)"	"10"	"Adherens junction (hsa04520)"	"11"	"T cell receptor signaling pathway (hsa04660)"	"10"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"11"
