"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 1"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"1"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 1"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 2"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"3"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 2"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 2"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"3"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 3"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 2"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 3"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"4"	"lung carcinoma (EFO_0001071)[ThETA]"	" 5"	"Ovary cancer (OV)[Intogen]"	" 4"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 4"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 5"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"5"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 5"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 5"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	"6"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 6"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 5"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 6"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 6"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"7"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 8"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 7"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 9"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"7"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 9"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 8"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 8"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"9"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 9"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 9"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 9"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"10"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"11"	"Ovarian Neoplasms[PharmGKB_associated]"	"11"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"10"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"11"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"11"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"11"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"11"	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"12"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"12"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"12"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"12"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"14"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"13"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"12"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"13"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"15"	NA	NA	"Lung squamous cell carcinoma (LUSC)[Intogen]"	"14"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"13"	"Prostatic Neoplasms[PharmGKB_associated]"	"14"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"15"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"15"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"14"	NA	NA	NA	NA
"Breast Neoplasms[PharmGKB_associated]"	"15"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"16"	NA	NA	NA	NA	NA	NA
"Breast carcinoma (EFO_0000305)[ThETA]"	"16"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"17"	NA	NA	NA	NA	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"17"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"18"	NA	NA	NA	NA	NA	NA
