"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Chemokine signaling pathway (hsa04062)"	" 1"	"Central carbon metabolism in cancer (hsa05230)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 1"	"PI3K-Akt signaling pathway (hsa04151)"	" 1"	"Chemokine signaling pathway (hsa04062)"	" 1"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 1"
"AMPK signaling pathway (hsa04152)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"
"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 4"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 4"
"Leukocyte transendothelial migration (hsa04670)"	" 5"	"Rap1 signaling pathway (hsa04015)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 5"	"Lysosome (hsa04142)"	" 5"	"PI3K-Akt signaling pathway (hsa04151)"	" 6"	"Central carbon metabolism in cancer (hsa05230)"	" 4"
"Central carbon metabolism in cancer (hsa05230)"	" 5"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 5"	"Rap1 signaling pathway (hsa04015)"	" 6"	"Proteoglycans in cancer (hsa05205)"	" 6"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 7"	"AMPK signaling pathway (hsa04152)"	" 5"
"Adherens junction (hsa04520)"	" 6"	"Complement and coagulation cascades (hsa04610)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 8"	"Central carbon metabolism in cancer (hsa05230)"	" 9"	"Lysosome (hsa04142)"	" 8"	"Sulfur metabolism (hsa00920)"	" 7"
"Choline metabolism in cancer (hsa05231)"	" 8"	"Toll-like receptor signaling pathway (hsa04620)"	" 9"	"Gap junction (hsa04540)"	" 8"	"Sulfur metabolism (hsa00920)"	"10"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	" 9"	"VEGF signaling pathway (hsa04370)"	" 7"
"Proteoglycans in cancer (hsa05205)"	" 9"	"Primary immunodeficiency (hsa05340)"	" 9"	"Choline metabolism in cancer (hsa05231)"	" 9"	"Complement and coagulation cascades (hsa04610)"	"11"	"Choline metabolism in cancer (hsa05231)"	"10"	"Lysosome (hsa04142)"	" 9"
"Cytokine-cytokine receptor interaction (hsa04060)"	"11"	"FoxO signaling pathway (hsa04068)"	"10"	"Central carbon metabolism in cancer (hsa05230)"	" 9"	"VEGF signaling pathway (hsa04370)"	"11"	"Carbon metabolism (hsa01200)"	"10"	"Glycolysis / Gluconeogenesis (hsa00010)"	"10"
"Complement and coagulation cascades (hsa04610)"	"11"	"Choline metabolism in cancer (hsa05231)"	"11"	"Complement and coagulation cascades (hsa04610)"	"10"	"Rap1 signaling pathway (hsa04015)"	"12"	"Complement and coagulation cascades (hsa04610)"	"12"	"Cytokine-cytokine receptor interaction (hsa04060)"	"10"
"Lysosome (hsa04142)"	"12"	"Tight junction (hsa04530)"	"12"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"11"	"Carbon metabolism (hsa01200)"	"12"	"Central carbon metabolism in cancer (hsa05230)"	"12"	"Wnt signaling pathway (hsa04310)"	"11"
"ErbB signaling pathway (hsa04012)"	"14"	"Lysosome (hsa04142)"	"14"	"Lysosome (hsa04142)"	"13"	"NF-kappa B signaling pathway (hsa04064)"	"12"	"Toll-like receptor signaling pathway (hsa04620)"	"13"	"JAK-STAT signaling pathway (hsa04630)"	"12"
"PI3K-Akt signaling pathway (hsa04151)"	"14"	"Sulfur metabolism (hsa00920)"	"14"	"FoxO signaling pathway (hsa04068)"	"13"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"13"	"VEGF signaling pathway (hsa04370)"	"16"	"TNF signaling pathway (hsa04668)"	"14"
"Carbon metabolism (hsa01200)"	"15"	"Chemokine signaling pathway (hsa04062)"	"18"	"NF-kappa B signaling pathway (hsa04064)"	"15"	"Primary immunodeficiency (hsa05340)"	"14"	"Adherens junction (hsa04520)"	"17"	"Toll-like receptor signaling pathway (hsa04620)"	"15"
"Sphingolipid signaling pathway (hsa04071)"	"15"	"Leukocyte transendothelial migration (hsa04670)"	"20"	"Primary immunodeficiency (hsa05340)"	"16"	"Choline metabolism in cancer (hsa05231)"	"15"	"Sulfur metabolism (hsa00920)"	"18"	"Proteoglycans in cancer (hsa05205)"	"15"
"Chemical carcinogenesis - DNA adducts (hsa05204)"	"17"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"22"	"Sulfur metabolism (hsa00920)"	"17"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"16"	"Focal adhesion (hsa04510)"	"18"	"Adherens junction (hsa04520)"	"16"
"Gap junction (hsa04540)"	"20"	"ErbB signaling pathway (hsa04012)"	"22"	"Carbon metabolism (hsa01200)"	"19"	"p53 signaling pathway (hsa04115)"	"17"	"Glucagon signaling pathway (hsa04922)"	"19"	"MicroRNAs in cancer (hsa05206)"	"17"
"Phagosome (hsa04145)"	"21"	"Citrate cycle (TCA cycle) (hsa00020)"	"23"	"Toll-like receptor signaling pathway (hsa04620)"	"19"	"FoxO signaling pathway (hsa04068)"	"17"	"Ras signaling pathway (hsa04014)"	"20"	"Cell adhesion molecules (hsa04514)"	"19"
"Primary immunodeficiency (hsa05340)"	"23"	"Homologous recombination (hsa03440)"	"24"	"p53 signaling pathway (hsa04115)"	"20"	"Gap junction (hsa04540)"	"17"	"FoxO signaling pathway (hsa04068)"	"21"	"Gap junction (hsa04540)"	"20"
"NOD-like receptor signaling pathway (hsa04621)"	"23"	"VEGF signaling pathway (hsa04370)"	"25"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"21"	"Toll-like receptor signaling pathway (hsa04620)"	"18"	"Gap junction (hsa04540)"	"22"	"Thyroid hormone signaling pathway (hsa04919)"	"21"
"Sulfur metabolism (hsa00920)"	"23"	"PI3K-Akt signaling pathway (hsa04151)"	"25"	"PPAR signaling pathway (hsa03320)"	"25"	"Cytokine-cytokine receptor interaction (hsa04060)"	"20"	"Primary immunodeficiency (hsa05340)"	"22"	"Rap1 signaling pathway (hsa04015)"	"22"
"Proteasome (hsa03050)"	"24"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"26"	"Cytokine-cytokine receptor interaction (hsa04060)"	"25"	"Apoptosis (hsa04210)"	"21"	"PPAR signaling pathway (hsa03320)"	"24"	"p53 signaling pathway (hsa04115)"	"22"
"TNF signaling pathway (hsa04668)"	"24"	"Ras signaling pathway (hsa04014)"	"27"	"JAK-STAT signaling pathway (hsa04630)"	"26"	"Autophagy - animal (hsa04140)"	"21"	"Autophagy - animal (hsa04140)"	"25"	"Primary immunodeficiency (hsa05340)"	"23"
"JAK-STAT signaling pathway (hsa04630)"	"25"	"Proteasome (hsa03050)"	"27"	"Phagosome (hsa04145)"	"26"	"Cytosolic DNA-sensing pathway (hsa04623)"	"22"	"TGF-beta signaling pathway (hsa04350)"	"26"	"TGF-beta signaling pathway (hsa04350)"	"24"
"Cytosolic DNA-sensing pathway (hsa04623)"	"26"	"p53 signaling pathway (hsa04115)"	"27"	"TNF signaling pathway (hsa04668)"	"27"	"JAK-STAT signaling pathway (hsa04630)"	"24"	"Hedgehog signaling pathway (hsa04340)"	"26"	"MAPK signaling pathway (hsa04010)"	"24"
"Hedgehog signaling pathway (hsa04340)"	"26"	"Base excision repair (hsa03410)"	"28"	"Cytosolic DNA-sensing pathway (hsa04623)"	"28"	"Cell adhesion molecules (hsa04514)"	"25"	"Apoptosis (hsa04210)"	"27"	"Mismatch repair (hsa03430)"	"28"
"Base excision repair (hsa03410)"	"26"	"Sphingolipid signaling pathway (hsa04071)"	"28"	"ErbB signaling pathway (hsa04012)"	"29"	"AMPK signaling pathway (hsa04152)"	"27"	"JAK-STAT signaling pathway (hsa04630)"	"28"	"Carbon metabolism (hsa01200)"	"28"
"Rap1 signaling pathway (hsa04015)"	"28"	"Hippo signaling pathway (hsa04390)"	"29"	"MAPK signaling pathway (hsa04010)"	"29"	"MAPK signaling pathway (hsa04010)"	"28"	"Leukocyte transendothelial migration (hsa04670)"	"29"	"Sphingolipid signaling pathway (hsa04071)"	"28"
"T cell receptor signaling pathway (hsa04660)"	"28"	"Gap junction (hsa04540)"	"30"	"Cell adhesion molecules (hsa04514)"	"29"	"Tight junction (hsa04530)"	"29"	"Base excision repair (hsa03410)"	"30"	"Choline metabolism in cancer (hsa05231)"	"30"
"Mismatch repair (hsa03430)"	"29"	"Wnt signaling pathway (hsa04310)"	"30"	"Apoptosis (hsa04210)"	"30"	"Proteasome (hsa03050)"	"33"	"Thyroid hormone signaling pathway (hsa04919)"	"31"	"Apoptosis (hsa04210)"	"31"
"Thyroid hormone signaling pathway (hsa04919)"	"30"	"Carbon metabolism (hsa01200)"	"31"	"Glucagon signaling pathway (hsa04922)"	"31"	"Ras signaling pathway (hsa04014)"	"33"	"Cell adhesion molecules (hsa04514)"	"31"	"Complement and coagulation cascades (hsa04610)"	"32"
"NF-kappa B signaling pathway (hsa04064)"	"30"	"Cytosolic DNA-sensing pathway (hsa04623)"	"31"	"Ras signaling pathway (hsa04014)"	"32"	"TNF signaling pathway (hsa04668)"	"33"	"MicroRNAs in cancer (hsa05206)"	"32"	"Glucagon signaling pathway (hsa04922)"	"33"
"VEGF signaling pathway (hsa04370)"	"32"	"MAPK signaling pathway (hsa04010)"	"32"	"Base excision repair (hsa03410)"	"33"	"TGF-beta signaling pathway (hsa04350)"	"34"	"Mismatch repair (hsa03430)"	"33"	"Phagosome (hsa04145)"	"34"
"Focal adhesion (hsa04510)"	"33"	"NOD-like receptor signaling pathway (hsa04621)"	"32"	"Tight junction (hsa04530)"	"33"	"Homologous recombination (hsa03440)"	"36"	"Tight junction (hsa04530)"	"33"	"Hedgehog signaling pathway (hsa04340)"	"35"
"MAPK signaling pathway (hsa04010)"	"34"	"MicroRNAs in cancer (hsa05206)"	"33"	"Focal adhesion (hsa04510)"	"33"	"Base excision repair (hsa03410)"	"37"	"Glycolysis / Gluconeogenesis (hsa00010)"	"33"	"ECM-receptor interaction (hsa04512)"	"36"
"TGF-beta signaling pathway (hsa04350)"	"34"	"T cell receptor signaling pathway (hsa04660)"	"34"	"Autophagy - animal (hsa04140)"	"35"	"Citrate cycle (TCA cycle) (hsa00020)"	"38"	"NF-kappa B signaling pathway (hsa04064)"	"34"	"FoxO signaling pathway (hsa04068)"	"36"
"ECM-receptor interaction (hsa04512)"	"36"	"Apoptosis (hsa04210)"	"35"	"Citrate cycle (TCA cycle) (hsa00020)"	"36"	"Glucagon signaling pathway (hsa04922)"	"39"	"Cytokine-cytokine receptor interaction (hsa04060)"	"34"	"Ras signaling pathway (hsa04014)"	"37"
"Natural killer cell mediated cytotoxicity (hsa04650)"	"38"	"Autophagy - animal (hsa04140)"	"35"	"Leukocyte transendothelial migration (hsa04670)"	"36"	"ECM-receptor interaction (hsa04512)"	"39"	"Cytosolic DNA-sensing pathway (hsa04623)"	"35"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"38"
"Citrate cycle (TCA cycle) (hsa00020)"	"38"	"Mismatch repair (hsa03430)"	"36"	"AMPK signaling pathway (hsa04152)"	"37"	"ErbB signaling pathway (hsa04012)"	"40"	"p53 signaling pathway (hsa04115)"	"36"	"Cytosolic DNA-sensing pathway (hsa04623)"	"39"
"Cell adhesion molecules (hsa04514)"	"39"	"Hedgehog signaling pathway (hsa04340)"	"37"	"Adherens junction (hsa04520)"	"37"	"Glycolysis / Gluconeogenesis (hsa00010)"	"40"	"ECM-receptor interaction (hsa04512)"	"36"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"39"
"Wnt signaling pathway (hsa04310)"	"40"	"Glucagon signaling pathway (hsa04922)"	"40"	"Thyroid hormone signaling pathway (hsa04919)"	"38"	"Mismatch repair (hsa03430)"	"41"	"AMPK signaling pathway (hsa04152)"	"38"	"NOD-like receptor signaling pathway (hsa04621)"	"40"
"Apoptosis (hsa04210)"	"41"	"PPAR signaling pathway (hsa03320)"	"41"	"Mismatch repair (hsa03430)"	"41"	"Hedgehog signaling pathway (hsa04340)"	"42"	"Citrate cycle (TCA cycle) (hsa00020)"	"39"	"Tight junction (hsa04530)"	"40"
"PPAR signaling pathway (hsa03320)"	"41"	"TGF-beta signaling pathway (hsa04350)"	"41"	"Glycolysis / Gluconeogenesis (hsa00010)"	"41"	"PPAR signaling pathway (hsa03320)"	"43"	"Hippo signaling pathway (hsa04390)"	"39"	"Autophagy - animal (hsa04140)"	"41"
"Hippo signaling pathway (hsa04390)"	"42"	"Adherens junction (hsa04520)"	"43"	"Sphingolipid signaling pathway (hsa04071)"	"41"	"Focal adhesion (hsa04510)"	"43"	"Homologous recombination (hsa03440)"	"40"	"NF-kappa B signaling pathway (hsa04064)"	"43"
"MicroRNAs in cancer (hsa05206)"	"43"	"Cell adhesion molecules (hsa04514)"	"44"	"Hedgehog signaling pathway (hsa04340)"	"42"	"Leukocyte transendothelial migration (hsa04670)"	"44"	"Proteasome (hsa03050)"	"40"	"ErbB signaling pathway (hsa04012)"	"44"
