"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 1"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 2"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"Ovary cancer (OV)[Intogen]"	" 3"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 2"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 3"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 3"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 4"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 4"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 4"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 4"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 5"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 5"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 4"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 5"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 6"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 5"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 5"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 7"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 7"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 7"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 7"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 7"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"10"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 8"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 8"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 9"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 9"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 9"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 9"
"Breast Neoplasms[PharmGKB_associated]"	"11"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"10"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"10"	"Ovarian Neoplasms[PharmGKB_associated]"	"11"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"10"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"11"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"11"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"11"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"11"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"11"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"11"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"13"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"11"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"12"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"12"	NA	NA
