"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 1"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 1"	"lung carcinoma (EFO_0001071)[ThETA]"	" 1"	"Ovary cancer (OV)[Intogen]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 2"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 2"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 3"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 3"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 4"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 4"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 5"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 4"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 5"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 5"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 5"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 5"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 6"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 5"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 6"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 7"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 6"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 6"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 6"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	" 8"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 7"	"Ovarian Neoplasms[PharmGKB_associated]"	" 7"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 7"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 8"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 8"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 8"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 8"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 8"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 8"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 9"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 9"	"Prostatic Neoplasms[PharmGKB_associated]"	" 9"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"10"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"10"	"Lung neuroendocrine cancer (LNET)[Intogen]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"12"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"10"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"10"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"10"	"Renal carcinoma (EFO:0002890)[ThETA]"	"11"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"11"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"12"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"10"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"11"
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"13"	NA	NA	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	"12"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"13"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	"13"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"13"	NA	NA	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"12"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"13"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"14"	NA	NA
"Breast Neoplasms, Male[PharmGKB_associated]"	"14"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"14"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"14"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"14"	NA	NA
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"14"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"14"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"14"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"14"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"15"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"16"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"14"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"15"	NA	NA
"Breast Neoplasms[PharmGKB_associated]"	"17"	NA	NA	"Non small cell lung cancer (NSCLC)[Intogen]"	"17"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"17"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"15"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"18"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"19"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"19"	NA	NA	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"19"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"19"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"19"	NA	NA	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"20"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"20"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"20"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"21"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"20"	NA	NA	NA	NA	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"22"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"22"	NA	NA	NA	NA	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
