"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DISEASE] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"[DISEASE] Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"[DISEASE] Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"[DISEASE] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 1"	"[DISEASE] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"[DISEASE] Cutaneous melanoma of the skin (CM)[Intogen]"	" 1"
"[DISEASE] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"[DISEASE] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 2"	"[DISEASE] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 3"	"[DISEASE] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 2"	"[DISEASE] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 2"	"[DISEASE] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 3"
"[DISEASE] Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"[DISEASE] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 3"	"[DISEASE] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 4"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 3"	"[DISEASE] Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"[DISEASE] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 3"
"[DISEASE] breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 5"	"[DISEASE] Renal papillary cell carcinoma (RPC)[Intogen]"	" 4"	"[DISEASE] Lung adenocarcinoma (LUAD)[Intogen]"	" 4"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 5"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 4"	"[DISEASE] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 4"
"[ADR] Poisoning (12.03.01.004) [ADReCS]"	" 7"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DISEASE] lung carcinoma (EFO_0001071)[ThETA]"	" 6"	"[DISEASE] Ovary cancer (OV)[Intogen]"	" 6"	"[ADR] Poisoning (12.03.01.004) [ADReCS]"	" 5"	"[DISEASE] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 4"
"[DISEASE] Breast Neoplasms[PharmGKB_associated]"	" 8"	"[DISEASE] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 6"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 6"	"[DISEASE] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 7"	"[DISEASE] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 7"
"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[DISEASE] Renal carcinoma (EFO:0002890)[ThETA]"	" 7"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"[DISEASE] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 7"	"[DISEASE] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 8"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"
"[DISEASE] Breast carcinoma (EFO_0000305)[ThETA]"	" 9"	"[ADR] Poisoning (12.03.01.004) [ADReCS]"	" 8"	"[DISEASE] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 7"	"[DISEASE] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 8"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"	"[DISEASE] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 8"
"[DISEASE] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"11"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[DISEASE] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 9"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[ADR] Poisoning (12.03.01.004) [ADReCS]"	" 9"
"[DISEASE] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"11"	"[ADR] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DISEASE] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"11"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	"10"	"[DISEASE] Prostate carcinoma (EFO_0001663)[ThETA]"	"10"	"[DISEASE] Skin basal cell carcinoma (SBCC)[Intogen]"	"10"
