"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"1"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 1"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 1"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"3"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 2"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 2"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 3"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 3"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"3"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 3"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 3"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 3"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"4"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 4"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 4"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 5"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 4"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 6"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"4"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 6"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 5"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 5"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 5"
"Breast Neoplasms[PharmGKB_associated]"	" 7"	"Renal carcinoma (EFO:0002890)[ThETA]"	"6"	"lung carcinoma (EFO_0001071)[ThETA]"	" 6"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 7"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"7"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 7"	"Ovary cancer (OV)[Intogen]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 7"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 7"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"8"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 8"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 8"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 8"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 9"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"10"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 9"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 8"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"10"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"10"
