"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DISEASE] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"[DISEASE] Renal papillary cell carcinoma (RPC)[Intogen]"	" 2"	"[DISEASE] Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"[DISEASE] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 1"	"[DISEASE] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 1"
"[DISEASE] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 2"	"[DISEASE] Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"[DISEASE] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 2"	"[DISEASE] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"[DISEASE] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 3"	"[DISEASE] Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"[DISEASE] breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 3"	"[DISEASE] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 3"	"[DISEASE] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 4"	"[DISEASE] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 4"	"[DISEASE] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 5"	"[DISEASE] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 3"
"[DISEASE] Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 6"	"[DISEASE] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 4"	"[DISEASE] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 5"	"[DISEASE] Ovary cancer (OV)[Intogen]"	" 4"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DISEASE] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 4"
"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[DISEASE] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 6"	"[DISEASE] lung carcinoma (EFO_0001071)[ThETA]"	" 6"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[ADR] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 5"	"[DISEASE] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"[DISEASE] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"[ADR] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 7"	"[DISEASE] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 7"	"[DISEASE] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 7"	"[DISEASE] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 6"	"[ADR] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"
"[DISEASE] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 7"	"[DISEASE] Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"[DISEASE] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 8"	"[ADR] Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"[DISEASE] Prostate adenocarcinoma (PRAD)[Intogen]"	" 7"	"[ADR] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"
"[ADR] Poisoning (12.03.01.004) [ADReCS]"	" 7"	"[DISEASE] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 8"	"[DISEASE] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 8"	"[ADR] Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"[ADR] Adverse reaction (08.06.01.018) [ADReCS]"	" 8"	"[ADR] Adverse reaction (08.06.01.018) [ADReCS]"	" 8"
"[DISEASE] Breast adenocarcinoma (BRCA)[Intogen]"	" 8"	"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[ADR] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"10"	"[ADR] Cardiotoxicity (MESH:D066126) [CTD]"	" 9"	"[ADR] Neurotoxicity (12.03.01.011) [ADReCS]"	"10"	"[DISEASE] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 9"
"[ADR] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[ADR] Cardiotoxicity (MESH:D066126) [CTD]"	" 9"	"[DISEASE] lung cancer (MONDO_0008903)[OpenTargets_literature]"	"10"	"[ADR] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"10"	"[ADR] Cardiotoxicity (C0876994) [DisGeNET]"	"11"	"[ADR] Neurotoxicity (12.03.01.011) [ADReCS]"	"10"
