"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 1"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 1"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"[DrgDis] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 1"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"[DrgDis] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 2"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 2"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 3"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 3"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 3"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 5"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	" 4"	"[DrgDis] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 4"	"[DrgDis] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 6"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	" 5"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 5"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 5"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 5"
"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[DrgDis] Small-cell lung cancer (SCLC)[Intogen]"	" 6"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	" 8"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 8"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	" 9"	"[DrgDis] Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 8"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 7"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 6"
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 9"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"10"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[DrgDis] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 8"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 9"	"[DrgDis] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"10"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 9"
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"11"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"10"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"11"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"10"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	"10"	"[DrgDis] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"11"
