"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Chemokine signaling pathway (hsa04062)"	" 1"	"Central carbon metabolism in cancer (hsa05230)"	" 1"	"PI3K-Akt signaling pathway (hsa04151)"	" 1"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"Chemokine signaling pathway (hsa04062)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"
"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"	"VEGF signaling pathway (hsa04370)"	" 3"	"PI3K-Akt signaling pathway (hsa04151)"	" 3"
"AMPK signaling pathway (hsa04152)"	" 3"	"Rap1 signaling pathway (hsa04015)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 3"	"FoxO signaling pathway (hsa04068)"	" 3"	"Central carbon metabolism in cancer (hsa05230)"	" 4"	"AMPK signaling pathway (hsa04152)"	" 4"
"Cytokine-cytokine receptor interaction (hsa04060)"	" 5"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 5"	"Rap1 signaling pathway (hsa04015)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 4"	"PI3K-Akt signaling pathway (hsa04151)"	" 5"	"MAPK signaling pathway (hsa04010)"	" 5"
"Choline metabolism in cancer (hsa05231)"	" 5"	"FoxO signaling pathway (hsa04068)"	" 8"	"Proteoglycans in cancer (hsa05205)"	" 6"	"Rap1 signaling pathway (hsa04015)"	" 6"	"Choline metabolism in cancer (hsa05231)"	" 6"	"Central carbon metabolism in cancer (hsa05230)"	" 6"
"Central carbon metabolism in cancer (hsa05230)"	" 6"	"Tight junction (hsa04530)"	" 9"	"VEGF signaling pathway (hsa04370)"	" 6"	"Choline metabolism in cancer (hsa05231)"	" 7"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 7"	"JAK-STAT signaling pathway (hsa04630)"	" 6"
"Leukocyte transendothelial migration (hsa04670)"	" 7"	"PPAR signaling pathway (hsa03320)"	" 9"	"FoxO signaling pathway (hsa04068)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 8"	"FoxO signaling pathway (hsa04068)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 7"
"Proteoglycans in cancer (hsa05205)"	" 8"	"Choline metabolism in cancer (hsa05231)"	" 9"	"Gap junction (hsa04540)"	" 9"	"Central carbon metabolism in cancer (hsa05230)"	" 9"	"Autophagy - animal (hsa04140)"	"12"	"Proteasome (hsa03050)"	" 7"
"Adherens junction (hsa04520)"	"10"	"Focal adhesion (hsa04510)"	"10"	"NF-kappa B signaling pathway (hsa04064)"	"10"	"Proteoglycans in cancer (hsa05205)"	" 9"	"Primary immunodeficiency (hsa05340)"	"12"	"TNF signaling pathway (hsa04668)"	"10"
"PI3K-Akt signaling pathway (hsa04151)"	"10"	"PI3K-Akt signaling pathway (hsa04151)"	"11"	"MAPK signaling pathway (hsa04010)"	"11"	"Gap junction (hsa04540)"	"10"	"Gap junction (hsa04540)"	"12"	"Sulfur metabolism (hsa00920)"	"11"
"Carbon metabolism (hsa01200)"	"11"	"ErbB signaling pathway (hsa04012)"	"12"	"Leukocyte transendothelial migration (hsa04670)"	"11"	"MAPK signaling pathway (hsa04010)"	"11"	"Sulfur metabolism (hsa00920)"	"13"	"Glycolysis / Gluconeogenesis (hsa00010)"	"11"
"VEGF signaling pathway (hsa04370)"	"12"	"Primary immunodeficiency (hsa05340)"	"13"	"Choline metabolism in cancer (hsa05231)"	"12"	"Autophagy - animal (hsa04140)"	"12"	"Sphingolipid signaling pathway (hsa04071)"	"13"	"Lysosome (hsa04142)"	"12"
"ErbB signaling pathway (hsa04012)"	"13"	"Cytokine-cytokine receptor interaction (hsa04060)"	"14"	"Cell adhesion molecules (hsa04514)"	"16"	"NF-kappa B signaling pathway (hsa04064)"	"13"	"Toll-like receptor signaling pathway (hsa04620)"	"14"	"Cytokine-cytokine receptor interaction (hsa04060)"	"13"
"Mismatch repair (hsa03430)"	"14"	"Autophagy - animal (hsa04140)"	"15"	"Complement and coagulation cascades (hsa04610)"	"16"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"14"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"17"	"Wnt signaling pathway (hsa04310)"	"15"
"Rap1 signaling pathway (hsa04015)"	"15"	"Thyroid hormone signaling pathway (hsa04919)"	"16"	"Adherens junction (hsa04520)"	"17"	"AMPK signaling pathway (hsa04152)"	"15"	"MicroRNAs in cancer (hsa05206)"	"18"	"VEGF signaling pathway (hsa04370)"	"16"
"Thyroid hormone signaling pathway (hsa04919)"	"17"	"Chemokine signaling pathway (hsa04062)"	"17"	"Primary immunodeficiency (hsa05340)"	"18"	"Sulfur metabolism (hsa00920)"	"18"	"p53 signaling pathway (hsa04115)"	"19"	"TGF-beta signaling pathway (hsa04350)"	"17"
"NF-kappa B signaling pathway (hsa04064)"	"19"	"Sphingolipid signaling pathway (hsa04071)"	"19"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"19"	"Complement and coagulation cascades (hsa04610)"	"18"	"JAK-STAT signaling pathway (hsa04630)"	"19"	"Rap1 signaling pathway (hsa04015)"	"18"
"NOD-like receptor signaling pathway (hsa04621)"	"21"	"Wnt signaling pathway (hsa04310)"	"19"	"Central carbon metabolism in cancer (hsa05230)"	"19"	"Toll-like receptor signaling pathway (hsa04620)"	"18"	"Proteoglycans in cancer (hsa05205)"	"20"	"FoxO signaling pathway (hsa04068)"	"18"
"Focal adhesion (hsa04510)"	"22"	"Hippo signaling pathway (hsa04390)"	"19"	"ErbB signaling pathway (hsa04012)"	"21"	"Primary immunodeficiency (hsa05340)"	"19"	"Complement and coagulation cascades (hsa04610)"	"21"	"Proteoglycans in cancer (hsa05205)"	"19"
"Cytosolic DNA-sensing pathway (hsa04623)"	"23"	"Toll-like receptor signaling pathway (hsa04620)"	"20"	"AMPK signaling pathway (hsa04152)"	"22"	"Carbon metabolism (hsa01200)"	"19"	"MAPK signaling pathway (hsa04010)"	"22"	"Toll-like receptor signaling pathway (hsa04620)"	"20"
