"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 1"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast Neoplasms[PharmGKB_associated]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 2"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 2"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 3"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 4"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 4"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 4"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 4"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 5"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 5"	"lung carcinoma (EFO_0001071)[ThETA]"	" 5"	"Ovary cancer (OV)[Intogen]"	" 5"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 5"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 5"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 6"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 6"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 6"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 6"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 6"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 6"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 7"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 7"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 7"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 7"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 7"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 7"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 8"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 8"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 8"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 8"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 9"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 9"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 9"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 9"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 9"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 9"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"10"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"10"	"Ovarian Neoplasms[PharmGKB_associated]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 9"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	"10"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"11"	"Renal carcinoma (EFO:0002890)[ThETA]"	"11"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"11"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"11"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"10"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"11"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"12"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"12"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"12"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"12"	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"13"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"13"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"13"	"Prostatic Neoplasms[PharmGKB_associated]"	"13"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"14"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"14"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"14"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"14"	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"15"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"15"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"15"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"15"	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"16"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"16"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"16"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"16"	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"17"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"17"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"17"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"17"	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"18"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"18"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"18"	NA	NA	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"19"	NA	NA	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"19"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"19"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	"20"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"20"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"20"	NA	NA	NA	NA
