"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 1"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 1"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 2"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 2"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 2"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 3"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 3"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 3"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 4"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 4"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	" 4"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 4"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 4"
"Breast Neoplasms, Male[PharmGKB_associated]"	" 5"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 5"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 5"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 5"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 5"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 5"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 6"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 6"	"Ovarian Neoplasms[PharmGKB_associated]"	" 6"	"Prostatic Neoplasms[PharmGKB_associated]"	" 6"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 6"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 7"	"Lung neuroendocrine cancer (LNET)[Intogen]"	" 7"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 7"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 7"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 7"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 8"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 8"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 8"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 8"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 8"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 9"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 9"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 9"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"Breast adenocarcinoma (BRCA)[Intogen]"	"10"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"10"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"10"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"10"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"10"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"10"
