"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 1"	"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 1"	"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 1"	"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 1"	"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 1"	"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 1"
"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 2"	"Gemcitabine Metabolism Pathway (SMP0000603) (Drug Metabolism)"	" 2"	"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 2"	"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 2"	"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 2"	"Acetaminophen Metabolism Pathway (SMP0000640) (Drug Metabolism)"	" 2"
"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 3"	"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 3"	"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 3"	"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 3"	"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 4"	"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 3"
"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	" 4"	"Irinotecan Metabolism Pathway (SMP0000600) (Drug Metabolism)"	" 4"	"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 4"	"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	" 4"	"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 4"	"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	" 4"
"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 5"	"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 5"	"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	" 5"	"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 5"	"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 6"	"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 5"
"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 6"	"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 6"	"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 6"	"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 6"	"Ibuprofen Metabolism Pathway (SMP0000590) (Drug Metabolism)"	" 6"	"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 6"
"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 6"	"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 7"	"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 7"	"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 7"	"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	" 7"	"Mycophenolic Acid Metabolism Pathway (SMP0000652) (Drug Metabolism)"	" 7"
"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 7"	"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	" 8"	"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 8"	"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	" 9"	"Nevirapine Metabolism Pathway (SMP0000642) (Drug Metabolism)"	" 8"	"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 8"
"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	" 9"	"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	" 9"	"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	" 9"	"Cyclophosphamide Metabolism Pathway (SMP0000604) (Drug Metabolism)"	" 9"	"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	" 9"	"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	" 9"
"Ifosfamide Metabolism Pathway (SMP0000605) (Drug Metabolism)"	"10"	"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	"10"	"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	"10"	"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	"10"	"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	" 9"	"Celecoxib Metabolism Pathway (SMP0000644) (Drug Metabolism)"	"10"
"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	"11"	"Mercaptopurine Metabolism Pathway (SMP0000609) (Drug Metabolism)"	"11"	"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	"11"	"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	"11"	"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	"11"	"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"11"
"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"12"	"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"12"	"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"12"	"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"12"	"Tramadol Metabolism Pathway (SMP0000637) (Drug Metabolism)"	"12"	"Doxorubicin Metabolism Pathway (SMP0000650) (Drug Metabolism)"	"12"
"Etoposide Metabolism Pathway (SMP0000601) (Drug Metabolism)"	"13"	"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"13"	"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"13"	"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"13"	"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"13"	"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"13"
"Lamivudine Metabolism Pathway (SMP0000649) (Drug Metabolism)"	"14"	"Etoposide Metabolism Pathway (SMP0000601) (Drug Metabolism)"	"14"	NA	NA	"Lamivudine Metabolism Pathway (SMP0000649) (Drug Metabolism)"	"14"	NA	NA	"Etoposide Metabolism Pathway (SMP0000601) (Drug Metabolism)"	"14"
"Morphine Metabolism Pathway (SMP0000622) (Drug Metabolism)"	"14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
