"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 1"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 1"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 1"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 2"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 2"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 2"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 2"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 3"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 3"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 3"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 4"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 4"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 4"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 5"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 5"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 5"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 6"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 5"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 5"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 5"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 6"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 5"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 6"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 6"
"Breast Neoplasms[PharmGKB_associated]"	" 8"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 7"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 7"	"Ovary cancer (OV)[Intogen]"	" 6"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 7"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 7"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 9"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 8"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 8"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 8"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 9"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"10"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"10"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	"10"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"10"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 9"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 9"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"10"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"10"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	"11"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"10"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"10"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"10"
