"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast Neoplasms[PharmGKB_associated]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 2"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 4"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 3"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 3"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 4"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 5"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"Ovary cancer (OV)[Intogen]"	" 4"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 3"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 4"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 6"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 5"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 4"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 5"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 6"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 6"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 7"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 7"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 6"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 6"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 7"	"lung carcinoma (EFO_0001071)[ThETA]"	" 7"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 8"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 8"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 9"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 8"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 8"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 8"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 8"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"10"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 9"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"10"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 9"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"10"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"10"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"10"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"10"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"10"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"11"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"11"	"Small-cell lung cancer (SCLC)[Intogen]"	"12"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"11"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	"10"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"11"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"13"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"12"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"11"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"12"	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"13"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"15"	"Ovarian Neoplasms[PharmGKB_associated]"	"11"	"Prostatic Neoplasms[PharmGKB_associated]"	"13"	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"13"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"15"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"14"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"13"	NA	NA
"Breast carcinoma (EFO_0000305)[ThETA]"	"13"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"16"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"14"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"15"	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"14"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"16"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"17"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"16"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"18"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"17"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"18"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"17"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"18"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"18"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"18"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	"19"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"19"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	"19"	NA	NA	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"20"	NA	NA	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"19"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"19"	NA	NA	NA	NA
"Breast Neoplasms, Male[PharmGKB_associated]"	"21"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"20"	NA	NA	NA	NA	NA	NA
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"21"	NA	NA	"Lung neuroendocrine cancer (LNET)[Intogen]"	"20"	NA	NA	NA	NA	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"23"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
