"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Focal adhesion (hsa04510)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Toll-like receptor signaling pathway (hsa04620)"	" 1"
"MAPK signaling pathway (hsa04010)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 2"
"Choline metabolism in cancer (hsa05231)"	" 3"	"Choline metabolism in cancer (hsa05231)"	" 4"	"Choline metabolism in cancer (hsa05231)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Focal adhesion (hsa04510)"	" 3"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Toll-like receptor signaling pathway (hsa04620)"	" 5"	"Toll-like receptor signaling pathway (hsa04620)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 4"
"Leukocyte transendothelial migration (hsa04670)"	" 5"	"Leukocyte transendothelial migration (hsa04670)"	" 6"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 5"	"VEGF signaling pathway (hsa04370)"	" 5"	"Choline metabolism in cancer (hsa05231)"	" 5"	"JAK-STAT signaling pathway (hsa04630)"	" 5"
"VEGF signaling pathway (hsa04370)"	" 6"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 7"	"Toll-like receptor signaling pathway (hsa04620)"	" 6"	"Chemokine signaling pathway (hsa04062)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 6"
"Toll-like receptor signaling pathway (hsa04620)"	" 7"	"AMPK signaling pathway (hsa04152)"	" 7"	"JAK-STAT signaling pathway (hsa04630)"	" 7"	"PI3K-Akt signaling pathway (hsa04151)"	" 8"	"PI3K-Akt signaling pathway (hsa04151)"	" 7"	"Choline metabolism in cancer (hsa05231)"	" 7"
"Chemokine signaling pathway (hsa04062)"	" 8"	"Tight junction (hsa04530)"	" 9"	"ErbB signaling pathway (hsa04012)"	" 7"	"JAK-STAT signaling pathway (hsa04630)"	" 8"	"JAK-STAT signaling pathway (hsa04630)"	" 7"	"ErbB signaling pathway (hsa04012)"	" 9"
"JAK-STAT signaling pathway (hsa04630)"	" 9"	"Gap junction (hsa04540)"	" 9"	"PI3K-Akt signaling pathway (hsa04151)"	"10"	"Leukocyte transendothelial migration (hsa04670)"	" 9"	"VEGF signaling pathway (hsa04370)"	" 8"	"Carbon metabolism (hsa01200)"	"10"
"Proteoglycans in cancer (hsa05205)"	"10"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"10"	"Chemokine signaling pathway (hsa04062)"	"10"	"Central carbon metabolism in cancer (hsa05230)"	"10"	"T cell receptor signaling pathway (hsa04660)"	"10"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"11"
"Adherens junction (hsa04520)"	"10"	"VEGF signaling pathway (hsa04370)"	"11"	"Central carbon metabolism in cancer (hsa05230)"	"10"	"ErbB signaling pathway (hsa04012)"	"11"	"ErbB signaling pathway (hsa04012)"	"11"	"Central carbon metabolism in cancer (hsa05230)"	"12"
"ErbB signaling pathway (hsa04012)"	"12"	"Central carbon metabolism in cancer (hsa05230)"	"13"	"Leukocyte transendothelial migration (hsa04670)"	"11"	"T cell receptor signaling pathway (hsa04660)"	"12"	"Tight junction (hsa04530)"	"12"	"PI3K-Akt signaling pathway (hsa04151)"	"12"
"T cell receptor signaling pathway (hsa04660)"	"12"	"Sphingolipid signaling pathway (hsa04071)"	"14"	"Adherens junction (hsa04520)"	"12"	"Chemokine signaling pathway (hsa04062)"	"12"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"13"	"Chemokine signaling pathway (hsa04062)"	"13"
"Gap junction (hsa04540)"	"13"	"JAK-STAT signaling pathway (hsa04630)"	"14"	"T cell receptor signaling pathway (hsa04660)"	"14"	"Adherens junction (hsa04520)"	"14"	"AMPK signaling pathway (hsa04152)"	"14"	"Cytokine-cytokine receptor interaction (hsa04060)"	"14"
"Central carbon metabolism in cancer (hsa05230)"	"15"	"MAPK signaling pathway (hsa04010)"	"16"	"MAPK signaling pathway (hsa04010)"	"16"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"16"	"Central carbon metabolism in cancer (hsa05230)"	"15"	"Apoptosis (hsa04210)"	"16"
"AMPK signaling pathway (hsa04152)"	"17"	"Adherens junction (hsa04520)"	"17"	"AMPK signaling pathway (hsa04152)"	"17"	"Tight junction (hsa04530)"	"17"	"Sphingolipid signaling pathway (hsa04071)"	"16"	"NOD-like receptor signaling pathway (hsa04621)"	"16"
"Sphingolipid signaling pathway (hsa04071)"	"17"	"Ras signaling pathway (hsa04014)"	"20"	"Gap junction (hsa04540)"	"17"	"Apoptosis (hsa04210)"	"20"	"TGF-beta signaling pathway (hsa04350)"	"18"	"Adherens junction (hsa04520)"	"17"
"TGF-beta signaling pathway (hsa04350)"	"19"	"FoxO signaling pathway (hsa04068)"	"20"	"Sphingolipid signaling pathway (hsa04071)"	"19"	"NOD-like receptor signaling pathway (hsa04621)"	"20"	"Leukocyte transendothelial migration (hsa04670)"	"18"	"MAPK signaling pathway (hsa04010)"	"18"
"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"20"	"Wnt signaling pathway (hsa04310)"	"21"	"Tight junction (hsa04530)"	"20"	"Sphingolipid signaling pathway (hsa04071)"	"20"	"FoxO signaling pathway (hsa04068)"	"19"	"Tight junction (hsa04530)"	"18"
"PI3K-Akt signaling pathway (hsa04151)"	"21"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"21"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"22"	"AMPK signaling pathway (hsa04152)"	"21"	"Adherens junction (hsa04520)"	"20"	"FoxO signaling pathway (hsa04068)"	"18"
