"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 1"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 2"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 1"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 2"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"[DrgDis] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 3"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	" 2"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 2"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 3"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 3"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 4"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 4"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 4"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 5"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 4"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 6"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 5"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 5"	"[DrgDis] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 5"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 6"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 5"
"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 6"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"[DrgDis] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 7"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"[DrgDis] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 8"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"[DrgDis] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 7"
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	" 8"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	" 9"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[DrgDis] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 8"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 9"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 8"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"11"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 9"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 9"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	" 9"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"10"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"10"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_literature]"	"13"	"[DrgDis] Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"10"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"10"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"10"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"11"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"13"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"14"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"11"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"12"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"11"
"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"12"	"[DrgDis] Renal carcinoma (EFO:0002890)[ThETA]"	"13"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"14"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"12"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"14"	"[DrgDis] Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"12"
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"12"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"15"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"15"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"14"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"14"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"12"
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"13"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	"15"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"16"	"[DrgDis] ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"15"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"15"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"14"
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"13"	"[DrgDis] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"15"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"16"	"[DrgDis] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"17"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"16"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"15"
"[DrgDis] Breast Neoplasms[PharmGKB_associated]"	"15"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	"16"	"[DrgDis] Small-cell lung cancer (SCLC)[Intogen]"	"17"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"17"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"16"	"[DrgDis] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"16"
"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"17"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"16"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	"17"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"17"	"[DrgDis] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"17"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"17"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"18"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"17"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"17"	"[DrgDis] Ovarian Neoplasms[PharmGKB_associated]"	"18"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"18"	"[DrgDis] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"17"
"[DrgDis] Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"19"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"18"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"18"	"[DrgDis] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"19"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"19"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"18"
"[DrgDis] Breast Neoplasms, Male[PharmGKB_associated]"	"19"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"19"	"[DrgDis] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"19"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"21"	"[DrgDis] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"20"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"19"
"[DrgDis] Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"21"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"21"	"[DrgDis] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"19"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"21"	"[DrgDis] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"21"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"21"
"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"23"	NA	NA	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"20"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"23"	"[DrgDis] Prostatic Neoplasms[PharmGKB_associated]"	"21"	NA	NA
"[DrgDis] Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"23"	NA	NA	"[DrgDis] Non small cell lung cancer (NSCLC)[Intogen]"	"20"	"[DrgDis] Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"23"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"22"	NA	NA
"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"24"	NA	NA	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"22"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"24"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"23"	NA	NA
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"25"	NA	NA	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"22"	"[DrgDis] Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"25"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"24"	NA	NA
"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"25"	NA	NA	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"23"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"26"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"26"	NA	NA
"[DrgDis] Breast Carcinoma (C0678222)[DisGeNET_curated]"	"27"	NA	NA	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"27"	"[DrgDis] Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"26"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"27"	NA	NA
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"27"	NA	NA	"[DrgDis] Lung adenocarcinoma (LUAD)[Intogen]"	"27"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"28"	NA	NA	NA	NA
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"28"	NA	NA	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"28"	"[DrgDis] Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"29"	NA	NA	NA	NA
"[DrgDis] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"30"	NA	NA	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"30"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"29"	NA	NA	NA	NA
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_literature]"	"31"	NA	NA	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"31"	NA	NA	NA	NA	NA	NA
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"32"	NA	NA	"[DrgDis] Lung neuroendocrine cancer (LNET)[Intogen]"	"32"	NA	NA	NA	NA	NA	NA
"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
