"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  1"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  1"
"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  2"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  2"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  2"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"
"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  3"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  3"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  3"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  3"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  2"
"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  5"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  5"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  5"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  5"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  5"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  5"
"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  6"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  6"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  6"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  5"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  6"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  6"
"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  6"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  6"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  6"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  7"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  7"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  7"
"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  7"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  7"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  7"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  7"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  7"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  7"
"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  8"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  7"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  8"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  7"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  8"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  7"
"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  8"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  8"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  8"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  8"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  9"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  8"
"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 10"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 10"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 10"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	"  9"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 10"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 10"
"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 11"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 11"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 11"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 11"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 11"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 11"
"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 12"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 12"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 12"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 12"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 12"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 12"
"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 13"
"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 14"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 14"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 14"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 14"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 14"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 14"
"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 15"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 16"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 15"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 15"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 15"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 15"
"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 16"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 17"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 16"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 16"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 16"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 16"
"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 17"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 19"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 16"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 17"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 17"	"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 17"
"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 18"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 20"	"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 18"	"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 18"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 19"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 18"
"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 22"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 21"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 22"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 21"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 19"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 19"
"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 22"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 21"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 23"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 23"	"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 20"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 20"
"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 23"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 21"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 23"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 24"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 22"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 24"
"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 23"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 22"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 23"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 25"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 24"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 24"
"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 24"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 22"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 24"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 25"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 25"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 26"
"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 25"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 22"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 24"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 25"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 27"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 27"
"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 25"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 23"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 24"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 26"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 28"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 27"
"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 26"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 24"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 25"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 26"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 28"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 27"
"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 26"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 25"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 25"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 26"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 28"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 28"
"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 27"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 25"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 26"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 26"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 29"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 28"
"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 28"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 26"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 26"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 27"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 29"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 29"
"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 28"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 27"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 27"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 28"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 30"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 29"
"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 30"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 32"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 28"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 29"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 30"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 30"
"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 32"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 34"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 32"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 31"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 30"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 30"
"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 33"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 34"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 33"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 33"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 31"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 33"
"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 33"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 34"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 34"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 34"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 31"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 33"
"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 35"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 36"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 36"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 35"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 34"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 34"
"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 36"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 36"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 36"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 36"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 34"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 35"
"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 37"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 38"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 37"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 37"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 37"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 36"
"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 38"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 38"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 37"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 37"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 38"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 38"
"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 40"	"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	" 39"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 38"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 38"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 39"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 39"
"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 40"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 40"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 40"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 40"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 39"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 40"
"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 41"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 41"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 41"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	" 41"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 41"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 41"
"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 42"	"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 42"	"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 42"	"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 42"	"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 42"	"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 42"
"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 42"	"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 43"	"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 42"	"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 43"	"Vinorelbine Action Pathway (SMP0000439) (Drug Action)"	" 42"	"Vinblastine Action Pathway (SMP0000436) (Drug Action)"	" 43"
