"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 1"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 2"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 2"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 2"
"Breast Neoplasms[PharmGKB_associated]"	" 3"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 3"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 3"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 4"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 3"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 4"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 5"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 4"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 4"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 5"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 5"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 5"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 5"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 5"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 5"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	" 6"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 6"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 5"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 6"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 6"
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 6"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 7"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 7"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 7"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 8"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 8"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 8"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 8"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 8"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 8"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 9"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"10"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	" 9"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 8"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 9"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"10"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"10"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 9"	"Skin basal cell carcinoma (SBCC)[Intogen]"	"10"
