"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"[DrgDis] Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 1"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"
"[DrgDis] Breast Neoplasms[PharmGKB_associated]"	" 2"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 2"
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 3"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 3"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 5"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"[DrgDis] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 4"	"[DrgDis] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 4"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 4"
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 5"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 5"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 5"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 5"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 5"
"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	" 6"	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	" 6"	"[DrgDis] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 6"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 6"	"[DrgDis] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 7"
"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 7"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 7"	"[DrgDis] Non small cell lung cancer (NSCLC)[Intogen]"	" 7"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 7"	"[DrgDis] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 7"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 7"
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	" 8"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 9"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 7"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 9"	"[DrgDis] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 8"
"[DrgDis] Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 8"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 8"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	"10"	"[DrgDis] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 9"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 9"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"11"	"[DrgDis] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"10"	"[DrgDis] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"11"	"[DrgDis] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"10"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"10"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"11"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"11"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"11"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	"11"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"11"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"11"
