"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 1"	"[DrgDis] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 1"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 2"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 1"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 2"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 2"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 3"	"[DrgDis] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 2"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 4"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 2"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 3"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 4"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 3"	"[DrgDis] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 5"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	" 5"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 6"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 5"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 6"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 6"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 6"	"[DrgDis] Ovarian Neoplasms[PharmGKB_associated]"	" 8"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 6"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 7"
"[DrgDis] Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 8"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 6"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 8"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 7"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 7"
"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 8"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 9"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 7"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 8"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 9"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 9"	"[DrgDis] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 9"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"10"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 9"
"[DrgDis] Breast Neoplasms[PharmGKB_associated]"	"10"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"10"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	"10"	"[DrgDis] Prostatic Neoplasms[PharmGKB_associated]"	"10"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 9"
"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"10"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"11"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"12"	"[DrgDis] Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"11"	"[DrgDis] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"12"	"[DrgDis] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"11"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"10"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	"11"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	"13"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"11"	"[DrgDis] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"12"	"[DrgDis] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"11"
"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"14"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	"14"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"13"	"[DrgDis] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"11"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"14"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"13"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"14"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	"14"	"[DrgDis] Carcinoma of lung (C0684249)[DisGeNET_curated]"	"14"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"12"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"14"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"14"
"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"15"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"15"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"16"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	"15"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"15"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"16"
"[DrgDis] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"15"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"16"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"17"	"[DrgDis] Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"17"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"16"	"[DrgDis] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"17"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_literature]"	"15"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"16"	"[DrgDis] Lung adenocarcinoma (LUAD)[Intogen]"	"17"	"[DrgDis] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"17"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	"17"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"18"
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"17"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	"17"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"19"	"[DrgDis] Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"18"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	"18"	"[DrgDis] Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"19"
"[DrgDis] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"19"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	"18"	"[DrgDis] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"19"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	"18"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"19"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"19"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_GA]"	"21"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"20"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	"20"	"[DrgDis] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"19"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"19"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"20"
"[DrgDis] Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"22"	"[DrgDis] Renal carcinoma (EFO:0002890)[ThETA]"	"20"	"[DrgDis] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"21"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"21"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"20"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"21"
"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"22"	NA	NA	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"21"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"21"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	"21"	NA	NA
"[DrgDis] Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"24"	NA	NA	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"22"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"22"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"23"	NA	NA
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"25"	NA	NA	"[DrgDis] Small-cell lung cancer (SCLC)[Intogen]"	"24"	"[DrgDis] Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"24"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"24"	NA	NA
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"25"	NA	NA	"[DrgDis] Non small cell lung cancer (NSCLC)[Intogen]"	"25"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"25"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"24"	NA	NA
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"26"	NA	NA	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"26"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"26"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"24"	NA	NA
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"26"	NA	NA	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"27"	"[DrgDis] Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"27"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"25"	NA	NA
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	"27"	NA	NA	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"28"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"27"	NA	NA	NA	NA
"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"27"	NA	NA	"[DrgDis] Lung neuroendocrine cancer (LNET)[Intogen]"	"28"	"[DrgDis] ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"28"	NA	NA	NA	NA
"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"29"	NA	NA	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	"30"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"29"	NA	NA	NA	NA
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	"30"	NA	NA	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	"30"	NA	NA	NA	NA	NA	NA
"[DrgDis] Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"31"	NA	NA	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	"31"	NA	NA	NA	NA	NA	NA
"[DrgDis] Breast Neoplasms, Male[PharmGKB_associated]"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
