"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"1"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 1"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"Cutaneous melanoma of the skin (CM)[Intogen]"	"1"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"3"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 2"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 2"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	"2"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 3"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"4"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 3"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"3"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"4"	"lung carcinoma (EFO_0001071)[ThETA]"	" 5"	"Ovary cancer (OV)[Intogen]"	" 4"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	"4"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"5"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 6"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 5"	"Skin basal cell carcinoma (SBCC)[Intogen]"	"5"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 6"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"5"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 6"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 7"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	"6"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 8"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"6"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 6"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 7"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"7"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"8"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 7"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 8"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 8"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"8"
"Breast Neoplasms[PharmGKB_associated]"	" 9"	"Renal carcinoma (EFO:0002890)[ThETA]"	"9"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 8"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 9"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"9"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"10"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	" 9"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"10"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"9"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"11"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"10"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"10"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"11"	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"12"	NA	NA	"Lung squamous cell carcinoma (LUSC)[Intogen]"	"12"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"11"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"12"	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"12"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"13"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"11"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"13"	NA	NA
"Breast carcinoma (EFO_0000305)[ThETA]"	"14"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"14"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"13"	"Prostatic Neoplasms[PharmGKB_associated]"	"14"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"14"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"15"	"Ovarian Neoplasms[PharmGKB_associated]"	"14"	NA	NA	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"15"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"16"	NA	NA	NA	NA	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"16"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"17"	NA	NA	NA	NA	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"18"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"18"	NA	NA	NA	NA	NA	NA
