"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[proximity_shortest] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"  1"	"[proximity_shortest] Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"[proximity_shortest] Carcinoma of lung (C0684249)[DisGeNET_curated]"	"  1"	"[proximity_shortest] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 1"	"[proximity_shortest] Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"[proximity_shortest] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"[proximity_shortest] Breast Neoplasms[PharmGKB_associated]"	"  2"	"[proximity_shortest] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"[proximity_shortest] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"  2"	"[proximity_shortest] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 2"	"[proximity_shortest] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"[proximity_shortest] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 2"
"[proximity_shortest] Breast adenocarcinoma (BRCA)[Intogen]"	"  3"	"[proximity_kernel] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 3"	"[proximity_shortest] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	"  3"	"[proximity_shortest] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 3"	"[proximity_shortest] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 3"	"[proximity_shortest] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 3"
"[proximity_shortest] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"  4"	"[proximity_centre] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 4"	"[proximity_shortest] lung cancer (MONDO_0008903)[OpenTargets_GA]"	"  4"	"[proximity_shortest] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 4"	"[proximity_shortest] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 4"	"[proximity_shortest] Cutaneous melanoma of the skin (CM)[Intogen]"	" 4"
"[proximity_centre] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"  5"	"[proximity_shortest] Renal papillary cell carcinoma (RPC)[Intogen]"	" 5"	"[proximity_closest] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"  5"	"[proximity_shortest] Ovary cancer (OV)[Intogen]"	" 5"	"[proximity_shortest] Prostate carcinoma (EFO_0001663)[ThETA]"	" 5"	"[proximity_shortest] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 5"
"[proximity_centre] Breast adenocarcinoma (BRCA)[Intogen]"	"  6"	"[proximity_centre] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 6"	"[proximity_closest] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	"  6"	"[proximity_shortest] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 7"	"[proximity_centre] Prostate adenocarcinoma (PRAD)[Intogen]"	" 6"	"[proximity_shortest] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 6"
"[proximity_shortest] Breast carcinoma (EFO_0000305)[ThETA]"	"  7"	"[proximity_shortest] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 7"	"[proximity_closest] lung cancer (MONDO_0008903)[OpenTargets_GA]"	"  7"	"[proximity_shortest] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 7"	"[proximity_shortest] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 7"	"[proximity_shortest] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 7"
"[proximity_closest] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"  7"	"[proximity_shortest] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 8"	"[proximity_centre] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"  8"	"[proximity_shortest] Ovarian Neoplasms[PharmGKB_associated]"	" 8"	"[proximity_shortest] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 7"	"[proximity_closest] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 8"
"[proximity_shortest] Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 10"	"[proximity_shortest] Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"[proximity_centre] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	"  9"	"[proximity_shortest] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 8"	"[proximity_shortest] prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 8"	"[proximity_centre] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 9"
"[proximity_shortest] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 10"	"[proximity_centre] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"11"	"[proximity_centre] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 10"	"[proximity_shortest] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"10"	"[proximity_shortest] prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"11"	"[proximity_closest] Cutaneous melanoma of the skin (CM)[Intogen]"	"10"
