"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"2"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 1"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 1"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"2"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 2"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 2"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"3"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 3"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 3"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 3"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 4"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"4"	"lung carcinoma (EFO_0001071)[ThETA]"	" 3"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 5"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 4"
"Breast Neoplasms[PharmGKB_associated]"	" 5"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"5"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 5"	"Ovary cancer (OV)[Intogen]"	" 5"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	"6"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 6"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 6"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 7"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 6"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"7"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 7"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 8"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 7"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	" 8"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"8"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 8"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 8"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 8"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 9"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"9"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 9"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 9"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 9"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"11"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"10"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"10"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 9"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"10"
