"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Chemokine signaling pathway (hsa04062)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 1"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 1"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 1"	"Chemokine signaling pathway (hsa04062)"	" 1"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 1"
"Adherens junction (hsa04520)"	" 4"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 2"	"PI3K-Akt signaling pathway (hsa04151)"	" 2"
"Central carbon metabolism in cancer (hsa05230)"	" 4"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 3"	"Central carbon metabolism in cancer (hsa05230)"	" 4"	"Proteoglycans in cancer (hsa05205)"	" 3"	"Chemokine signaling pathway (hsa04062)"	" 4"
"AMPK signaling pathway (hsa04152)"	" 5"	"Toll-like receptor signaling pathway (hsa04620)"	" 5"	"Rap1 signaling pathway (hsa04015)"	" 5"	"Proteoglycans in cancer (hsa05205)"	" 4"	"PI3K-Akt signaling pathway (hsa04151)"	" 4"	"Central carbon metabolism in cancer (hsa05230)"	" 4"
"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	" 5"	"Complement and coagulation cascades (hsa04610)"	" 6"	"Chemokine signaling pathway (hsa04062)"	" 5"	"Chemokine signaling pathway (hsa04062)"	" 5"	"Choline metabolism in cancer (hsa05231)"	" 5"	"AMPK signaling pathway (hsa04152)"	" 5"
"Leukocyte transendothelial migration (hsa04670)"	" 6"	"Rap1 signaling pathway (hsa04015)"	" 7"	"Choline metabolism in cancer (hsa05231)"	" 7"	"Carbon metabolism (hsa01200)"	" 5"	"FoxO signaling pathway (hsa04068)"	" 7"	"Sulfur metabolism (hsa00920)"	" 6"
"Complement and coagulation cascades (hsa04610)"	" 7"	"Central carbon metabolism in cancer (hsa05230)"	" 8"	"Gap junction (hsa04540)"	" 8"	"Lysosome (hsa04142)"	" 7"	"Toll-like receptor signaling pathway (hsa04620)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 7"
"Carbon metabolism (hsa01200)"	" 8"	"Lysosome (hsa04142)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 9"	"Complement and coagulation cascades (hsa04610)"	" 9"	"Autophagy - animal (hsa04140)"	" 9"	"Lysosome (hsa04142)"	" 9"
"PI3K-Akt signaling pathway (hsa04151)"	"10"	"Carbon metabolism (hsa01200)"	" 9"	"Central carbon metabolism in cancer (hsa05230)"	"12"	"Choline metabolism in cancer (hsa05231)"	"10"	"Gap junction (hsa04540)"	" 9"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 9"
"Cytokine-cytokine receptor interaction (hsa04060)"	"11"	"Sulfur metabolism (hsa00920)"	" 9"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"12"	"Sulfur metabolism (hsa00920)"	"10"	"Complement and coagulation cascades (hsa04610)"	"12"	"Wnt signaling pathway (hsa04310)"	"11"
"Choline metabolism in cancer (hsa05231)"	"11"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"10"	"Complement and coagulation cascades (hsa04610)"	"12"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"12"	"Central carbon metabolism in cancer (hsa05230)"	"13"	"JAK-STAT signaling pathway (hsa04630)"	"11"
"Lysosome (hsa04142)"	"12"	"Tight junction (hsa04530)"	"12"	"Ras signaling pathway (hsa04014)"	"13"	"VEGF signaling pathway (hsa04370)"	"13"	"Primary immunodeficiency (hsa05340)"	"13"	"Glycolysis / Gluconeogenesis (hsa00010)"	"12"
"Sulfur metabolism (hsa00920)"	"12"	"Base excision repair (hsa03410)"	"14"	"Lysosome (hsa04142)"	"13"	"FoxO signaling pathway (hsa04068)"	"14"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"14"	"Proteoglycans in cancer (hsa05205)"	"13"
"MAPK signaling pathway (hsa04010)"	"15"	"Primary immunodeficiency (hsa05340)"	"15"	"FoxO signaling pathway (hsa04068)"	"14"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"14"	"VEGF signaling pathway (hsa04370)"	"15"	"Toll-like receptor signaling pathway (hsa04620)"	"14"
"Sphingolipid signaling pathway (hsa04071)"	"16"	"Focal adhesion (hsa04510)"	"16"	"NF-kappa B signaling pathway (hsa04064)"	"15"	"Autophagy - animal (hsa04140)"	"14"	"MAPK signaling pathway (hsa04010)"	"15"	"Adherens junction (hsa04520)"	"15"
"Primary immunodeficiency (hsa05340)"	"17"	"Chemokine signaling pathway (hsa04062)"	"18"	"ErbB signaling pathway (hsa04012)"	"16"	"p53 signaling pathway (hsa04115)"	"15"	"Thyroid hormone signaling pathway (hsa04919)"	"16"	"TNF signaling pathway (hsa04668)"	"15"
"Chemical carcinogenesis - DNA adducts (hsa05204)"	"17"	"VEGF signaling pathway (hsa04370)"	"18"	"Toll-like receptor signaling pathway (hsa04620)"	"18"	"Toll-like receptor signaling pathway (hsa04620)"	"15"	"Sulfur metabolism (hsa00920)"	"17"	"MicroRNAs in cancer (hsa05206)"	"16"
"Proteoglycans in cancer (hsa05205)"	"19"	"Choline metabolism in cancer (hsa05231)"	"18"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"18"	"Primary immunodeficiency (hsa05340)"	"17"	"Carbon metabolism (hsa01200)"	"18"	"Cell adhesion molecules (hsa04514)"	"19"
"Natural killer cell mediated cytotoxicity (hsa04650)"	"20"	"Phagosome (hsa04145)"	"21"	"Sulfur metabolism (hsa00920)"	"18"	"NF-kappa B signaling pathway (hsa04064)"	"17"	"NF-kappa B signaling pathway (hsa04064)"	"19"	"Gap junction (hsa04540)"	"20"
"NOD-like receptor signaling pathway (hsa04621)"	"21"	"Cytosolic DNA-sensing pathway (hsa04623)"	"23"	"Carbon metabolism (hsa01200)"	"20"	"Rap1 signaling pathway (hsa04015)"	"18"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"21"	"Thyroid hormone signaling pathway (hsa04919)"	"21"
"Rap1 signaling pathway (hsa04015)"	"21"	"Glycolysis / Gluconeogenesis (hsa00010)"	"23"	"Cytokine-cytokine receptor interaction (hsa04060)"	"21"	"Cytokine-cytokine receptor interaction (hsa04060)"	"18"	"Lysosome (hsa04142)"	"22"	"p53 signaling pathway (hsa04115)"	"21"
"Proteasome (hsa03050)"	"23"	"Adherens junction (hsa04520)"	"24"	"Primary immunodeficiency (hsa05340)"	"21"	"Cytosolic DNA-sensing pathway (hsa04623)"	"22"	"Leukocyte transendothelial migration (hsa04670)"	"24"	"Choline metabolism in cancer (hsa05231)"	"22"
"T cell receptor signaling pathway (hsa04660)"	"23"	"AMPK signaling pathway (hsa04152)"	"25"	"MAPK signaling pathway (hsa04010)"	"23"	"Cell adhesion molecules (hsa04514)"	"23"	"Cytokine-cytokine receptor interaction (hsa04060)"	"26"	"Primary immunodeficiency (hsa05340)"	"22"
