"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 1"	"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 2"	"[proximity_kernel] Poisoning (12.03.01.004) [ADReCS]"	" 1"
"[proximity_kernel] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[proximity_closest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 3"	"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 3"	"[proximity_kernel] Poisoning (12.03.01.004) [ADReCS]"	" 2"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 3"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 2"
"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 4"	"[proximity_closest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 3"	"[proximity_kernel] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[proximity_kernel] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 3"
"[proximity_kernel] Cardiotoxicity (MESH:D066126) [CTD]"	" 4"	"[proximity_kernel] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 5"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 4"	"[proximity_shortest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"[proximity_kernel] Drug toxicity (C0013221) [DisGeNET]"	" 4"
"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[proximity_kernel] Poisoning (12.03.01.004) [ADReCS]"	" 6"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 5"	"[proximity_kernel] Adverse reaction (08.06.01.018) [ADReCS]"	" 5"
"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[proximity_kernel] Neurotoxicity (12.03.01.011) [ADReCS]"	" 8"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 7"	"[proximity_kernel] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[proximity_kernel] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 6"	"[proximity_kernel] Cardiotoxicity (MESH:D066126) [CTD]"	" 6"
"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"[proximity_closest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 8"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 7"	"[proximity_closest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"
"[proximity_kernel] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 8"	"[proximity_kernel] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[proximity_shortest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	" 8"	"[proximity_closest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"
"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"[proximity_kernel] Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"[proximity_closest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 9"	"[proximity_shortest] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[proximity_closest] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"
"[proximity_kernel] Drug toxicity (C0013221) [DisGeNET]"	" 8"	"[proximity_kernel] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[proximity_shortest] Adverse reaction (08.06.01.018) [ADReCS]"	"10"	"[proximity_closest] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"10"	"[proximity_shortest] Neurotoxicity (12.03.01.011) [ADReCS]"	"10"	"[proximity_closest] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"11"
