"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 1"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 1"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	" 1"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 2"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 2"	"[DrgDis] Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 2"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 2"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 3"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 4"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 4"	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	" 4"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 4"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 5"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 4"
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	" 6"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 6"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 5"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 6"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 5"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 6"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 6"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	" 7"	"[DrgDis] Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 6"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	" 7"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 7"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 7"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	" 7"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 7"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 8"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 8"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 8"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 8"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 9"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 9"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"10"	"[DrgDis] Lung neuroendocrine cancer (LNET)[Intogen]"	" 9"	"[DrgDis] ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 9"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 9"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"10"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"11"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 9"	"[DrgDis] Ovarian Neoplasms[PharmGKB_associated]"	"10"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	"10"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	"10"
