"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"VEGF signaling pathway (hsa04370)"	" 3"	"Choline metabolism in cancer (hsa05231)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Focal adhesion (hsa04510)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 2"	"Proteasome (hsa03050)"	" 1"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 3"	"VEGF signaling pathway (hsa04370)"	" 2"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"
"Leukocyte transendothelial migration (hsa04670)"	" 4"	"Cell adhesion molecules (hsa04514)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 3"	"Toll-like receptor signaling pathway (hsa04620)"	" 2"	"JAK-STAT signaling pathway (hsa04630)"	" 3"
"Gap junction (hsa04540)"	" 4"	"VEGF signaling pathway (hsa04370)"	" 6"	"PI3K-Akt signaling pathway (hsa04151)"	" 3"	"Choline metabolism in cancer (hsa05231)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 4"	"VEGF signaling pathway (hsa04370)"	" 4"
"Cytokine-cytokine receptor interaction (hsa04060)"	" 5"	"Proteoglycans in cancer (hsa05205)"	" 6"	"Central carbon metabolism in cancer (hsa05230)"	" 7"	"VEGF signaling pathway (hsa04370)"	" 6"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 5"
"Choline metabolism in cancer (hsa05231)"	" 5"	"Gap junction (hsa04540)"	" 8"	"Choline metabolism in cancer (hsa05231)"	" 7"	"PI3K-Akt signaling pathway (hsa04151)"	" 6"	"JAK-STAT signaling pathway (hsa04630)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 6"
"Chemokine signaling pathway (hsa04062)"	" 6"	"Cytokine-cytokine receptor interaction (hsa04060)"	" 9"	"JAK-STAT signaling pathway (hsa04630)"	" 9"	"Central carbon metabolism in cancer (hsa05230)"	" 7"	"Leukocyte transendothelial migration (hsa04670)"	" 7"	"Homologous recombination (hsa03440)"	" 7"
"JAK-STAT signaling pathway (hsa04630)"	" 7"	"Tight junction (hsa04530)"	"10"	"Cytosolic DNA-sensing pathway (hsa04623)"	"10"	"Toll-like receptor signaling pathway (hsa04620)"	" 8"	"T cell receptor signaling pathway (hsa04660)"	" 8"	"Focal adhesion (hsa04510)"	" 7"
"Toll-like receptor signaling pathway (hsa04620)"	" 8"	"Toll-like receptor signaling pathway (hsa04620)"	"10"	"ErbB signaling pathway (hsa04012)"	"11"	"Leukocyte transendothelial migration (hsa04670)"	" 8"	"Proteoglycans in cancer (hsa05205)"	"10"	"Proteoglycans in cancer (hsa05205)"	"10"
"Focal adhesion (hsa04510)"	" 9"	"Sphingolipid signaling pathway (hsa04071)"	"11"	"Chemokine signaling pathway (hsa04062)"	"11"	"Adherens junction (hsa04520)"	" 9"	"Gap junction (hsa04540)"	"12"	"PI3K-Akt signaling pathway (hsa04151)"	"11"
"Adherens junction (hsa04520)"	"10"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"11"	"VEGF signaling pathway (hsa04370)"	"13"	"JAK-STAT signaling pathway (hsa04630)"	"10"	"Wnt signaling pathway (hsa04310)"	"13"	"Choline metabolism in cancer (hsa05231)"	"11"
"Carbon metabolism (hsa01200)"	"12"	"Wnt signaling pathway (hsa04310)"	"11"	"Ras signaling pathway (hsa04014)"	"14"	"Chemokine signaling pathway (hsa04062)"	"12"	"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"14"	"Chemokine signaling pathway (hsa04062)"	"12"
"Ras signaling pathway (hsa04014)"	"13"	"Leukocyte transendothelial migration (hsa04670)"	"13"	"Adherens junction (hsa04520)"	"14"	"ErbB signaling pathway (hsa04012)"	"14"	"Focal adhesion (hsa04510)"	"14"	"T cell receptor signaling pathway (hsa04660)"	"13"
"Sphingolipid signaling pathway (hsa04071)"	"13"	"ECM-receptor interaction (hsa04512)"	"15"	"Toll-like receptor signaling pathway (hsa04620)"	"15"	"NOD-like receptor signaling pathway (hsa04621)"	"14"	"ErbB signaling pathway (hsa04012)"	"17"	"Rap1 signaling pathway (hsa04015)"	"16"
"Rap1 signaling pathway (hsa04015)"	"14"	"Rap1 signaling pathway (hsa04015)"	"16"	"Leukocyte transendothelial migration (hsa04670)"	"16"	"Rap1 signaling pathway (hsa04015)"	"15"	"Rap1 signaling pathway (hsa04015)"	"19"	"Apoptosis (hsa04210)"	"17"
"MAPK signaling pathway (hsa04010)"	"16"	"Chemical carcinogenesis - DNA adducts (hsa05204)"	"17"	"NF-kappa B signaling pathway (hsa04064)"	"18"	"PPAR signaling pathway (hsa03320)"	"17"	"Adherens junction (hsa04520)"	"20"	"MAPK signaling pathway (hsa04010)"	"17"
"ErbB signaling pathway (hsa04012)"	"17"	"Autophagy - animal (hsa04140)"	"18"	"T cell receptor signaling pathway (hsa04660)"	"18"	"Cytosolic DNA-sensing pathway (hsa04623)"	"17"	"Cell adhesion molecules (hsa04514)"	"20"	"PPAR signaling pathway (hsa03320)"	"18"
"Signaling pathways regulating pluripotency of stem cells (hsa04550)"	"18"	"Chemokine signaling pathway (hsa04062)"	"19"	"Apoptosis (hsa04210)"	"18"	"Ras signaling pathway (hsa04014)"	"18"	"Autophagy - animal (hsa04140)"	"21"	"TGF-beta signaling pathway (hsa04350)"	"19"
