"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 1"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"1"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 1"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 1"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 2"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"2"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 2"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 2"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 2"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"3"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 3"	"Ovary cancer (OV)[Intogen]"	" 3"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"4"	"lung carcinoma (EFO_0001071)[ThETA]"	" 4"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 4"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 4"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 5"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"5"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 5"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"6"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 6"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 6"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 6"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 6"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"7"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 7"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 7"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 7"
"Breast Neoplasms[PharmGKB_associated]"	" 8"	"Renal carcinoma (EFO:0002890)[ThETA]"	"8"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 8"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 8"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 8"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"9"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 8"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"10"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 9"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 9"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"10"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"10"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"11"	"Skin basal cell carcinoma (SBCC)[Intogen]"	"10"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"11"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"11"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"10"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"11"	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"12"	NA	NA	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"13"	"Ovarian Neoplasms[PharmGKB_associated]"	"13"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"12"	NA	NA
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"13"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"13"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"13"	"Prostatic Neoplasms[PharmGKB_associated]"	"13"	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"15"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"13"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"14"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"13"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"15"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"14"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"15"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"16"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"17"	NA	NA	NA	NA	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"16"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"17"	NA	NA	NA	NA	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"18"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"18"	NA	NA	NA	NA	NA	NA
