"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 1"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"2"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 1"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 1"	"Cutaneous melanoma of the skin (CM)[Intogen]"	"1"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"3"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 2"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 3"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"2"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"4"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 4"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 4"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"3"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 5"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"4"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 4"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"4"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 6"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"5"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 5"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 5"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	"5"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	"6"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 6"	"Ovary cancer (OV)[Intogen]"	" 6"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	"6"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"7"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 7"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 6"	"Prostatic Neoplasms[PharmGKB_associated]"	" 7"	"Skin basal cell carcinoma (SBCC)[Intogen]"	"7"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 9"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"7"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 8"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 8"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 8"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 9"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 9"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	"9"
"Breast carcinoma (EFO_0000305)[ThETA]"	"10"	NA	NA	"lung carcinoma (EFO_0001071)[ThETA]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"11"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"9"
