"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 1"
"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 2"
"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 3"
"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 4"
"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"
"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"	"Drug toxicity (C0013221) [DisGeNET]"	" 6"
"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"
"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 8"
"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"
"Poisoning (12.03.01.004) [ADReCS]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"10"	"Poisoning (12.03.01.004) [ADReCS]"	"10"
