"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 1"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 1"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 1"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 1"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 3"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 2"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 2"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 4"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 3"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"Ovary cancer (OV)[Intogen]"	" 3"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 4"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"Breast Neoplasms[PharmGKB_associated]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 5"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 4"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 4"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 5"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 4"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	" 6"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 6"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 5"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 5"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 6"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 5"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 6"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 6"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 6"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 5"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 7"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 6"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 7"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 6"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 7"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 7"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 7"
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	" 9"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 8"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 8"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 7"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 8"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 8"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"10"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 9"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 9"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 8"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"Breast carcinoma (EFO_0000305)[ThETA]"	"11"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"10"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"10"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"12"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 8"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	"10"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"11"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"11"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"11"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"12"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"10"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"11"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"12"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"12"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"13"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"11"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"12"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"13"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"13"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"12"	NA	NA
