"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	" 1"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 1"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 1"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 1"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	" 1"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 2"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 2"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 2"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 2"	"[DrgDis] Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 2"
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 3"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 3"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	" 3"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 4"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 4"	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	" 4"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 4"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	" 4"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 4"
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	" 5"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 5"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 5"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 5"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 5"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 6"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 6"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 6"	"[DrgDis] Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 5"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 6"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 8"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 7"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 8"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 8"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	" 8"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 8"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 9"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 7"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 9"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 9"	"[DrgDis] Ovarian Neoplasms[PharmGKB_associated]"	" 9"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 9"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"10"	"[DrgDis] Lung neuroendocrine cancer (LNET)[Intogen]"	"10"	"[DrgDis] ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"10"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	"10"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 9"
