"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[proximity_kernel] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"  1"	"[proximity_shortest] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 1"	"[proximity_shortest] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"  1"	"[proximity_shortest] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 1"	"[proximity_kernel] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 1"	"[proximity_shortest] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"[proximity_shortest] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"  2"	"[proximity_shortest] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 2"	"[proximity_shortest] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"  2"	"[proximity_closest] Ovary cancer (OV)[Intogen]"	" 3"	"[proximity_kernel] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 3"	"[proximity_shortest] Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"[proximity_closest] breast cancer (MONDO_0007254)[OpenTargets_literature]"	"  3"	"[proximity_kernel] Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 4"	"[proximity_shortest] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"  3"	"[proximity_shortest] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 3"	"[proximity_shortest] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 4"	"[proximity_kernel] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 3"
"[proximity_kernel] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"  5"	"[proximity_closest] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 5"	"[proximity_kernel] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"  4"	"[proximity_shortest] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 4"	"[proximity_kernel] Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"[proximity_shortest] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 4"
"[proximity_closest] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"  6"	"[proximity_closest] Carcinoma, Renal Cell[PharmGKB_associated]"	" 5"	"[proximity_kernel] Lung squamous cell carcinoma (LUSC)[Intogen]"	"  5"	"[proximity_closest] ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 5"	"[proximity_kernel] prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 7"	"[proximity_closest] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"[proximity_kernel] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"  8"	"[proximity_kernel] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 6"	"[proximity_kernel] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"  7"	"[proximity_shortest] Ovary cancer (OV)[Intogen]"	" 8"	"[proximity_kernel] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 8"	"[proximity_closest] Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"[proximity_shortest] Breast Carcinoma (C0678222)[DisGeNET_curated]"	"  9"	"[proximity_closest] Renal papillary cell carcinoma (RPC)[Intogen]"	" 9"	"[proximity_closest] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"  9"	"[proximity_separation] Ovary cancer (OV)[Intogen]"	" 8"	"[proximity_kernel] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 8"	"[proximity_closest] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"10"
"[proximity_closest] Breast adenocarcinoma (BRCA)[Intogen]"	"  9"	"[proximity_shortest] Renal carcinoma (EFO:0002890)[ThETA]"	"10"	"[proximity_shortest] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 10"	"[proximity_shortest] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	"10"	"[proximity_kernel] prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 9"	"[proximity_closest] Skin squamous cell carcinoma (SSCC)[Intogen]"	"10"
"[proximity_shortest] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 11"	"[proximity_kernel] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"10"	"[proximity_kernel] Non small cell lung cancer (NSCLC)[Intogen]"	" 11"	"[proximity_closest] Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"10"	"[proximity_kernel] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 9"	"[proximity_shortest] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"11"
"[proximity_shortest] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 12"	"[proximity_centre] Carcinoma, Renal Cell[PharmGKB_associated]"	"11"	"[proximity_kernel] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 12"	"[proximity_shortest] Ovarian carcinoma (EFO_0001075)[ThETA]"	"10"	"[proximity_kernel] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"10"	"[proximity_kernel] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"12"
