"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Nicotine Action Pathway (SMP0000431) (Drug Action)"	"  2"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	"  2"	"3-Methylthiofentanyl Action Pathway (SMP0000679) (Drug Action)"	"  1"	"3-Methylthiofentanyl Action Pathway (SMP0000679) (Drug Action)"	"  1"	"3-Methylthiofentanyl Action Pathway (SMP0000679) (Drug Action)"	"  1"	"3-Methylthiofentanyl Action Pathway (SMP0000679) (Drug Action)"	"  1"
"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	"  2"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	"  2"	"Acebutolol Action Pathway (SMP0000296) (Drug Action)"	"  2"	"Acebutolol Action Pathway (SMP0000296) (Drug Action)"	"  2"	"Acebutolol Action Pathway (SMP0000296) (Drug Action)"	"  2"	"Acebutolol Action Pathway (SMP0000296) (Drug Action)"	"  2"
"Codeine Action Pathway (SMP0000405) (Drug Action)"	"  4"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	"  5"	"Acetaminophen  Action Pathway (SMP0000710) (Drug Action)"	"  3"	"Acetaminophen  Action Pathway (SMP0000710) (Drug Action)"	"  3"	"Acetaminophen  Action Pathway (SMP0000710) (Drug Action)"	"  3"	"Acetaminophen  Action Pathway (SMP0000710) (Drug Action)"	"  3"
"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	"  8"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	" 12"	"Acetylsalicylic Acid Action Pathway (SMP0000083) (Drug Action)"	"  4"	"Acetylsalicylic Acid Action Pathway (SMP0000083) (Drug Action)"	"  4"	"Acetylsalicylic Acid Action Pathway (SMP0000083) (Drug Action)"	"  4"	"Acetylsalicylic Acid Action Pathway (SMP0000083) (Drug Action)"	"  4"
"Ifosfamide Action Pathway (SMP0000448) (Drug Action)"	"  8"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	" 13"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	"  5"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	"  5"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	"  5"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	"  5"
"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  9"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	" 14"	"Alfentanil Action Pathway (SMP0000413) (Drug Action)"	"  6"	"Alfentanil Action Pathway (SMP0000413) (Drug Action)"	"  6"	"Alfentanil Action Pathway (SMP0000413) (Drug Action)"	"  6"	"Alfentanil Action Pathway (SMP0000413) (Drug Action)"	"  6"
"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	"  9"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 14"	"Alprenolol Action Pathway (SMP0000297) (Drug Action)"	"  7"	"Alprenolol Action Pathway (SMP0000297) (Drug Action)"	"  7"	"Alprenolol Action Pathway (SMP0000297) (Drug Action)"	"  7"	"Alprenolol Action Pathway (SMP0000297) (Drug Action)"	"  7"
"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	" 10"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 15"	"Alvimopan Action Pathway (SMP0000685) (Drug Action)"	"  8"	"Alvimopan Action Pathway (SMP0000685) (Drug Action)"	"  8"	"Alvimopan Action Pathway (SMP0000685) (Drug Action)"	"  8"	"Alvimopan Action Pathway (SMP0000685) (Drug Action)"	"  8"
"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	" 11"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 17"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	"  9"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	"  9"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	"  9"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	"  9"
"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 12"	"3-Methylthiofentanyl Action Pathway (SMP0000679) (Drug Action)"	" 18"	"Amiodarone Action Pathway (SMP0000665) (Drug Action)"	" 10"	"Amiodarone Action Pathway (SMP0000665) (Drug Action)"	" 10"	"Amiodarone Action Pathway (SMP0000665) (Drug Action)"	" 10"	"Amiodarone Action Pathway (SMP0000665) (Drug Action)"	" 10"
"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 13"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 21"	"Amlodipine Action Pathway (SMP0000376) (Drug Action)"	" 11"	"Amlodipine Action Pathway (SMP0000376) (Drug Action)"	" 11"	"Amlodipine Action Pathway (SMP0000376) (Drug Action)"	" 11"	"Amlodipine Action Pathway (SMP0000376) (Drug Action)"	" 11"
"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 15"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 24"	"Anileridine Action Pathway (SMP0000674) (Drug Action)"	" 12"	"Anileridine Action Pathway (SMP0000674) (Drug Action)"	" 12"	"Anileridine Action Pathway (SMP0000674) (Drug Action)"	" 12"	"Anileridine Action Pathway (SMP0000674) (Drug Action)"	" 12"
"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	" 16"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	" 26"	"Antipyrine Action Pathway (SMP0000692) (Drug Action)"	" 13"	"Antipyrine Action Pathway (SMP0000692) (Drug Action)"	" 13"	"Antipyrine Action Pathway (SMP0000692) (Drug Action)"	" 13"	"Antipyrine Action Pathway (SMP0000692) (Drug Action)"	" 13"
"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	" 18"	"Alfentanil Action Pathway (SMP0000413) (Drug Action)"	" 26"	"Antrafenine Action Pathway (SMP0000693) (Drug Action)"	" 14"	"Antrafenine Action Pathway (SMP0000693) (Drug Action)"	" 14"	"Antrafenine Action Pathway (SMP0000693) (Drug Action)"	" 14"	"Antrafenine Action Pathway (SMP0000693) (Drug Action)"	" 14"
"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	" 18"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	" 28"	"Arbutamine Action Pathway (SMP0000664) (Drug Action)"	" 15"	"Arbutamine Action Pathway (SMP0000664) (Drug Action)"	" 15"	"Arbutamine Action Pathway (SMP0000664) (Drug Action)"	" 15"	"Arbutamine Action Pathway (SMP0000664) (Drug Action)"	" 15"
"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 19"	"Bumetanide Action Pathway (SMP0000088) (Drug Action)"	" 28"	"Atenolol Action Pathway (SMP0000298) (Drug Action)"	" 16"	"Atenolol Action Pathway (SMP0000298) (Drug Action)"	" 16"	"Atenolol Action Pathway (SMP0000298) (Drug Action)"	" 16"	"Atenolol Action Pathway (SMP0000298) (Drug Action)"	" 16"
"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 19"	"Bendroflumethiazide Action Pathway (SMP0000090) (Drug Action)"	" 29"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 17"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 17"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 17"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 17"
"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	" 20"	"Alvimopan Action Pathway (SMP0000685) (Drug Action)"	" 30"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	" 18"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	" 18"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	" 18"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	" 18"
"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	" 21"	"Buprenorphine Action Pathway (SMP0000684) (Drug Action)"	" 31"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 19"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 19"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 19"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 19"
"Vincristine Action Pathway (SMP0000437) (Drug Action)"	" 22"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	" 31"	"Bendroflumethiazide Action Pathway (SMP0000090) (Drug Action)"	" 20"	"Bendroflumethiazide Action Pathway (SMP0000090) (Drug Action)"	" 20"	"Bendroflumethiazide Action Pathway (SMP0000090) (Drug Action)"	" 20"	"Bendroflumethiazide Action Pathway (SMP0000090) (Drug Action)"	" 20"
"Vindesine Action Pathway (SMP0000438) (Drug Action)"	" 23"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	" 32"	"Benzocaine Action Pathway (SMP0000392) (Drug Action)"	" 21"	"Benzocaine Action Pathway (SMP0000392) (Drug Action)"	" 21"	"Benzocaine Action Pathway (SMP0000392) (Drug Action)"	" 21"	"Benzocaine Action Pathway (SMP0000392) (Drug Action)"	" 21"
"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 24"	"Desipramine Action Pathway (SMP0000423) (Drug Action)"	" 34"	"Betaxolol Action Pathway (SMP0000299) (Drug Action)"	" 22"	"Betaxolol Action Pathway (SMP0000299) (Drug Action)"	" 22"	"Betaxolol Action Pathway (SMP0000299) (Drug Action)"	" 22"	"Betaxolol Action Pathway (SMP0000299) (Drug Action)"	" 22"
"Etoposide Action Pathway (SMP0000442) (Drug Action)"	" 25"	"Citalopram Action Pathway (SMP0000424) (Drug Action)"	" 36"	"Bevantolol Action Pathway (SMP0000668) (Drug Action)"	" 23"	"Bevantolol Action Pathway (SMP0000668) (Drug Action)"	" 23"	"Bevantolol Action Pathway (SMP0000668) (Drug Action)"	" 23"	"Bevantolol Action Pathway (SMP0000668) (Drug Action)"	" 23"
"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 29"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 36"	"Bisoprolol Action Pathway (SMP0000300) (Drug Action)"	" 24"	"Bisoprolol Action Pathway (SMP0000300) (Drug Action)"	" 24"	"Bisoprolol Action Pathway (SMP0000300) (Drug Action)"	" 24"	"Bisoprolol Action Pathway (SMP0000300) (Drug Action)"	" 24"
