"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"Ovary cancer (OV)[Intogen]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 3"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 3"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 4"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 5"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 5"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 4"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 5"	"Small-cell lung cancer (SCLC)[Intogen]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 6"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 8"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 6"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 7"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 7"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 6"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 8"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 7"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 8"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 7"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 6"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 7"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 9"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 9"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 7"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 8"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 8"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 9"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"10"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 9"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	"Renal carcinoma (EFO:0002890)[ThETA]"	"10"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"11"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"11"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"10"
