"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  1"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  1"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  1"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Nicotine Action Pathway (SMP0000431) (Drug Action)"	"  2"
"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  3"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  2"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  2"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  3"
"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  3"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  3"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  3"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  3"	"Azathioprine Action Pathway (SMP0000427) (Drug Action)"	"  3"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	"  3"
"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	"  4"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	"  5"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	"  4"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	"  4"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	"  6"	"Mercaptopurine Action Pathway (SMP0000428) (Drug Action)"	"  4"
"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	"  5"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	"  6"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	"  6"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	"  7"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	"  6"	"Thioguanine Action Pathway (SMP0000430) (Drug Action)"	"  5"
"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  7"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	"  6"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	"  6"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	"  7"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	"  7"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	"  8"
"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	"  7"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	"  7"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	"  8"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  9"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	"  7"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	"  9"
"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	"  9"	"Fluoxetine Action Pathway (SMP0000426) (Drug Action)"	" 10"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  8"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	"  9"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	" 10"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	"  9"
"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	"  9"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 11"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	" 10"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 11"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	" 10"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	"  9"
"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	" 10"	"Hydroflumethiazide Action Pathway (SMP0000108) (Drug Action)"	" 16"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	" 10"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 11"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	" 11"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 10"
"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	" 11"	"Furosemide Action Pathway (SMP0000115) (Drug Action)"	" 17"	"Phenytoin (Antiarrhythmic) Action Pathway (SMP0000327) (Drug Action)"	" 11"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	" 11"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	" 12"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 13"
"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 11"	"Hydrochlorothiazide Action Pathway (SMP0000100) (Drug Action)"	" 17"	"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 12"	"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 12"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	" 13"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 14"
"Codeine Action Pathway (SMP0000405) (Drug Action)"	" 12"	"Indapamide Action Pathway (SMP0000110) (Drug Action)"	" 18"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 14"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	" 12"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 13"	"Dasatinib Inhibition of BCR-ABL (SMP0031696) (Drug Action)"	" 16"
"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 14"	"Ethacrynic Acid Action Pathway (SMP0000097) (Drug Action)"	" 19"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 15"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	" 12"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 14"	"Bafetinib Inhibition of BCR-ABL (SMP0031699) (Drug Action)"	" 17"
"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 16"	"Methyclothiazide Action Pathway (SMP0000081) (Drug Action)"	" 20"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 16"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 17"	"Ibuprofen Action Pathway (SMP0000086) (Drug Action)"	" 14"	"Bosutinib Inhibition of BCR-ABL (SMP0031698) (Drug Action)"	" 17"
"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 19"	"Eplerenone Action Pathway (SMP0000135) (Drug Action)"	" 21"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 16"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 18"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 15"	"Ponatinib Inhibition of BCR-ABL (SMP0031700) (Drug Action)"	" 18"
"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 20"	"Metolazone Action Pathway (SMP0000105) (Drug Action)"	" 22"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 18"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 18"	"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 17"	"Nilotinib Inhibition of BCR-ABL (SMP0031697) (Drug Action)"	" 19"
"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 21"	"Cyclothiazide Action Pathway (SMP0000103) (Drug Action)"	" 23"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 19"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 19"	"Fluvastatin Action Pathway (SMP0000119) (Drug Action)"	" 19"	"Imatinib Inhibition of BCR-ABL (SMP0031694) (Drug Action)"	" 19"
"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 21"	"Polythiazide Action Pathway (SMP0000080) (Drug Action)"	" 23"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 20"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 20"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 19"	"Lidocaine (Antiarrhythmic) Action Pathway (SMP0000328) (Drug Action)"	" 22"
"Etoposide Action Pathway (SMP0000442) (Drug Action)"	" 21"	"Quinethazone Action Pathway (SMP0000091) (Drug Action)"	" 25"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 21"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 20"	"Ibandronate Action Pathway (SMP0000079) (Drug Action)"	" 20"	"Nalbuphine Action Pathway (SMP0000691) (Drug Action)"	" 23"
"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 22"	"Chlorthalidone Action Pathway (SMP0000122) (Drug Action)"	" 26"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 22"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 21"	"Lovastatin Action Pathway (SMP0000099) (Drug Action)"	" 21"	"Imipramine Action Pathway (SMP0000422) (Drug Action)"	" 24"
"Methotrexate Action Pathway (SMP0000432) (Drug Action)"	" 24"	"Spironolactone Action Pathway (SMP0000134) (Drug Action)"	" 27"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 23"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 22"	"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 22"	"Cyclophosphamide Action Pathway (SMP0000447) (Drug Action)"	" 25"
"Pamidronate Action Pathway (SMP0000117) (Drug Action)"	" 24"	"Chlorothiazide Action Pathway (SMP0000078) (Drug Action)"	" 28"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 24"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 23"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 23"	"Methadone Action Pathway (SMP0000408) (Drug Action)"	" 26"
"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 24"	"Torsemide Action Pathway (SMP0000118) (Drug Action)"	" 30"	"Disulfiram Action Pathway (SMP0000429) (Drug Action)"	" 25"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 23"	"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 24"	"Celecoxib Action Pathway (SMP0000096) (Drug Action)"	" 27"
"Pravastatin Action Pathway (SMP0000089) (Drug Action)"	" 25"	"Amiloride Action Pathway (SMP0000133) (Drug Action)"	" 30"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 25"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 24"	"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 25"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 28"
"Risedronate Action Pathway (SMP0000112) (Drug Action)"	" 27"	"Bumetanide Action Pathway (SMP0000088) (Drug Action)"	" 31"	"Lidocaine (Local Anaesthetic) Action Pathway (SMP0000398) (Drug Action)"	" 26"	"Zoledronate Action Pathway (SMP0000107) (Drug Action)"	" 26"	"Alendronate Action Pathway (SMP0000095) (Drug Action)"	" 26"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 28"
"Morphine Action Pathway (SMP0000406) (Drug Action)"	" 28"	"Gemcitabine Action Pathway (SMP0000446) (Drug Action)"	" 31"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 28"	"Chlorthalidone Action Pathway (SMP0000122) (Drug Action)"	" 27"	"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 27"	"Atorvastatin Action Pathway (SMP0000131) (Drug Action)"	" 29"
"Rosuvastatin Action Pathway (SMP0000092) (Drug Action)"	" 28"	"Triamterene Action Pathway (SMP0000132) (Drug Action)"	" 32"	"Furosemide Action Pathway (SMP0000115) (Drug Action)"	" 29"	"Irinotecan Action Pathway (SMP0000433) (Drug Action)"	" 28"	"Simvastatin Action Pathway (SMP0000082) (Drug Action)"	" 28"	"Cerivastatin Action Pathway (SMP0000111) (Drug Action)"	" 30"
