"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 1"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 1"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 1"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 1"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 2"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 2"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"[DrgDis] Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 2"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 2"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 2"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 3"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 3"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 3"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 3"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 4"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 4"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 4"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 4"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 4"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 5"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 5"
"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"[DrgDis] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 6"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 6"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 6"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 6"	"[DrgDis] Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 6"
"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 8"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 7"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 7"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 7"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 9"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 9"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 8"	"[DrgDis] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 8"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 8"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	" 8"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 9"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 9"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"10"	"[DrgDis] Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 8"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"
"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"10"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"10"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"10"	"[DrgDis] Ovarian Neoplasms[PharmGKB_associated]"	"10"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"10"	"[DrgDis] Skin basal cell carcinoma (SBCC)[Intogen]"	"10"
"[DrgDis] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"13"	"[DrgDis] Renal carcinoma (EFO:0002890)[ThETA]"	"11"	"[DrgDis] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"11"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"11"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"11"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	"11"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_literature]"	"13"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"12"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"12"	"[DrgDis] Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"13"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"12"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"13"
"[DrgDis] Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"13"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"13"	"[DrgDis] lung cancer (MONDO_0008903)[OpenTargets_literature]"	"13"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"13"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"15"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"13"
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"15"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"14"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"14"	"[DrgDis] Ovary cancer (OV)[Intogen]"	"15"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"15"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"14"
"[DrgDis] Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"15"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"15"	"[DrgDis] Lung neuroendocrine cancer (LNET)[Intogen]"	"15"	"[DrgDis] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"15"	"[DrgDis] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"15"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"14"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"16"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	"16"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"16"	"[DrgDis] Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"16"	"[DrgDis] Prostatic Neoplasms[PharmGKB_associated]"	"16"	"[DrgDis] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	"16"
"[DrgDis] Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"16"	"[DrgDis] Renal clear cell carcinoma (RCCC)[Intogen]"	"17"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"16"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"16"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"16"	"[DrgDis] skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"17"
"[DrgDis] Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"17"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	"18"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"18"	"[DrgDis] Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"18"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"17"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"18"
"[DrgDis] Breast Neoplasms, Male[PharmGKB_associated]"	"17"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"19"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"19"	"[DrgDis] Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"20"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	"19"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	"18"
"[DrgDis] Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"20"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_GA]"	"20"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"19"	"[DrgDis] Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"20"	"[DrgDis] metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"20"	"[DrgDis] Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"19"
"[DrgDis] Breast Carcinoma (C0678222)[DisGeNET_curated]"	"21"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	"21"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"21"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"22"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"21"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"20"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"22"	NA	NA	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"22"	"[DrgDis] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"23"	"[DrgDis] Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"23"	NA	NA
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	"23"	NA	NA	"[DrgDis] Carcinoma of lung (C0684249)[DisGeNET_curated]"	"23"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"24"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"23"	NA	NA
"[DrgDis] Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"23"	NA	NA	"[DrgDis] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"24"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"24"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	"23"	NA	NA
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"25"	NA	NA	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"25"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"25"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"25"	NA	NA
"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"25"	NA	NA	"[DrgDis] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"26"	"[DrgDis] Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"26"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"25"	NA	NA
"[DrgDis] Breast Neoplasms[PharmGKB_associated]"	"27"	NA	NA	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"26"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"27"	"[DrgDis] Prostate carcinoma (EFO_0001663)[ThETA]"	"26"	NA	NA
"[DrgDis] breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"28"	NA	NA	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	"28"	"[DrgDis] ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"27"	NA	NA	NA	NA
"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"29"	NA	NA	"[DrgDis] Non small cell lung cancer (NSCLC)[Intogen]"	"29"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	"29"	NA	NA	NA	NA
"[DrgDis] Breast carcinoma (EFO_0000305)[ThETA]"	"30"	NA	NA	"[DrgDis] lung carcinoma (EFO_0001071)[ThETA]"	"30"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"30"	NA	NA	NA	NA
"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"31"	NA	NA	"[DrgDis] Lung adenocarcinoma (LUAD)[Intogen]"	"31"	NA	NA	NA	NA	NA	NA
"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"31"	NA	NA	"[DrgDis] Small-cell lung cancer (SCLC)[Intogen]"	"31"	NA	NA	NA	NA	NA	NA
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	"32"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
