"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 1"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 1"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 1"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 1"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 2"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 2"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 2"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 4"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 3"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 3"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 3"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 4"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 4"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 4"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 4"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 4"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 4"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 5"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 5"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 5"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 7"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 5"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 5"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 8"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 6"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 6"	"Ovarian Neoplasms[PharmGKB_associated]"	" 7"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 7"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 6"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 8"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 7"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 7"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 8"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 7"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 7"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 9"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 8"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	" 9"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"10"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 8"
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	" 9"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 9"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 9"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 9"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 9"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"10"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	"10"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"11"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"10"	"Prostatic Neoplasms[PharmGKB_associated]"	"10"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	"10"
"Breast Neoplasms, Male[PharmGKB_associated]"	"10"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"11"	"Lung neuroendocrine cancer (LNET)[Intogen]"	"11"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"10"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"11"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"10"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"11"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"12"	"Ovary cancer (OV)[Intogen]"	"11"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"11"	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"14"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"13"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"13"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	"13"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"14"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"14"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"15"	"Prostate adenocarcinoma (PRAD)[Intogen]"	"14"	NA	NA
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"15"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"16"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	"15"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"15"	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"16"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"16"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"16"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"16"	NA	NA
"Breast adenocarcinoma (BRCA)[Intogen]"	"17"	NA	NA	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	"17"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"17"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"17"	NA	NA
