"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Focal adhesion (hsa04510)"	" 1"	"Choline metabolism in cancer (hsa05231)"	" 1"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Focal adhesion (hsa04510)"	" 1"	"VEGF signaling pathway (hsa04370)"	" 1"	"ErbB signaling pathway (hsa04012)"	" 2"
"VEGF signaling pathway (hsa04370)"	" 3"	"Toll-like receptor signaling pathway (hsa04620)"	" 3"	"Focal adhesion (hsa04510)"	" 3"	"Proteoglycans in cancer (hsa05205)"	" 2"	"Choline metabolism in cancer (hsa05231)"	" 2"	"Chemokine signaling pathway (hsa04062)"	" 2"
"Chemokine signaling pathway (hsa04062)"	" 3"	"Focal adhesion (hsa04510)"	" 4"	"PI3K-Akt signaling pathway (hsa04151)"	" 3"	"PI3K-Akt signaling pathway (hsa04151)"	" 3"	"Toll-like receptor signaling pathway (hsa04620)"	" 3"	"JAK-STAT signaling pathway (hsa04630)"	" 3"
"Natural killer cell mediated cytotoxicity (hsa04650)"	" 6"	"MAPK signaling pathway (hsa04010)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 4"	"Chemokine signaling pathway (hsa04062)"	" 5"	"Rap1 signaling pathway (hsa04015)"	" 4"
"T cell receptor signaling pathway (hsa04660)"	" 6"	"Sphingolipid signaling pathway (hsa04071)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 5"	"Choline metabolism in cancer (hsa05231)"	" 5"	"Natural killer cell mediated cytotoxicity (hsa04650)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 7"
"MAPK signaling pathway (hsa04010)"	" 6"	"VEGF signaling pathway (hsa04370)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 7"	"ErbB signaling pathway (hsa04012)"	" 5"	"T cell receptor signaling pathway (hsa04660)"	" 7"	"Focal adhesion (hsa04510)"	" 7"
"Sphingolipid signaling pathway (hsa04071)"	" 7"	"Chemokine signaling pathway (hsa04062)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 8"	"VEGF signaling pathway (hsa04370)"	" 6"	"ErbB signaling pathway (hsa04012)"	" 7"	"Toll-like receptor signaling pathway (hsa04620)"	" 8"
"Carbon metabolism (hsa01200)"	" 8"	"Autophagy - animal (hsa04140)"	" 8"	"Choline metabolism in cancer (hsa05231)"	" 8"	"Chemokine signaling pathway (hsa04062)"	" 8"	"Focal adhesion (hsa04510)"	" 8"	"MAPK signaling pathway (hsa04010)"	" 8"
"Adherens junction (hsa04520)"	" 8"	"Rap1 signaling pathway (hsa04015)"	"10"	"MAPK signaling pathway (hsa04010)"	"11"	"Central carbon metabolism in cancer (hsa05230)"	" 9"	"Proteoglycans in cancer (hsa05205)"	" 9"	"Ras signaling pathway (hsa04014)"	" 9"
"Toll-like receptor signaling pathway (hsa04620)"	" 9"	"Glycolysis / Gluconeogenesis (hsa00010)"	"11"	"Sphingolipid signaling pathway (hsa04071)"	"13"	"Toll-like receptor signaling pathway (hsa04620)"	"11"	"TNF signaling pathway (hsa04668)"	"11"	"T cell receptor signaling pathway (hsa04660)"	" 9"
"ErbB signaling pathway (hsa04012)"	"10"	"Natural killer cell mediated cytotoxicity (hsa04650)"	"12"	"Central carbon metabolism in cancer (hsa05230)"	"14"	"Rap1 signaling pathway (hsa04015)"	"13"	"AMPK signaling pathway (hsa04152)"	"12"	"Choline metabolism in cancer (hsa05231)"	"11"
