"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 1"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 2"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"Breast Neoplasms[PharmGKB_associated]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"Ovary cancer (OV)[Intogen]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 3"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 3"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 4"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 4"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 4"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 4"	"Prostatic Neoplasms[PharmGKB_associated]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 4"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	" 5"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 5"	"lung carcinoma (EFO_0001071)[ThETA]"	" 5"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 5"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 5"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 5"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 6"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 6"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 6"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 6"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 7"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 7"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 7"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 7"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 7"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 7"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 8"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 8"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 9"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 8"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 9"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 9"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 9"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"10"	"Carcinoma, Renal Cell[PharmGKB_associated]"	"10"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"11"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"10"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	"10"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"11"	"Renal papillary cell carcinoma (RPC)[Intogen]"	"11"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"12"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"11"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	"12"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"11"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"12"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"13"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"12"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"12"	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"13"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"13"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"13"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"13"	NA	NA
"Breast carcinoma (EFO_0000305)[ThETA]"	"14"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"14"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"16"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"14"	NA	NA
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"15"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"15"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"16"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"15"	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	"16"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"16"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"17"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"16"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"17"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"17"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"17"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"17"	NA	NA
