"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 1"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 1"	"lung carcinoma (EFO_0001071)[ThETA]"	" 1"	"Ovary cancer (OV)[Intogen]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 1"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 2"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 2"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 2"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 4"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 4"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 3"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 4"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 4"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 5"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 5"	"Lung neuroendocrine cancer (LNET)[Intogen]"	" 6"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 5"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 5"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 5"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 6"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 6"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 6"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 6"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 6"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 8"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 7"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 8"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 7"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 7"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 8"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 8"	"Ovarian Neoplasms[PharmGKB_associated]"	" 8"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 8"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 9"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 9"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 9"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 9"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"10"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	"10"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"10"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"11"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"10"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	"10"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"11"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"11"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"12"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"11"	"Prostatic Neoplasms[PharmGKB_associated]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"11"
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"12"	NA	NA	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	"12"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	"13"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"12"	NA	NA
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"13"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"13"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"14"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"13"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"14"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"13"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"14"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	"14"	NA	NA
"Breast Neoplasms, Male[PharmGKB_associated]"	"15"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"15"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"15"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"15"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"15"	NA	NA	"Non small cell lung cancer (NSCLC)[Intogen]"	"16"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"15"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	"16"	NA	NA
"Breast Neoplasms[PharmGKB_associated]"	"16"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"17"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"16"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"16"	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"19"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"18"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"18"	NA	NA	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"20"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"20"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"19"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"20"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"20"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"19"	NA	NA	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"21"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"21"	NA	NA	NA	NA	NA	NA
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"21"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"21"	NA	NA	NA	NA	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
