"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 1"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 1"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 1"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 2"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"Ovary cancer (OV)[Intogen]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 2"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 2"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 4"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 3"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 5"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"Ovarian Neoplasms[PharmGKB_associated]"	" 5"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 4"
"Breast Neoplasms[PharmGKB_associated]"	" 5"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 5"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 5"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 5"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 4"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 6"	"Small-cell lung cancer (SCLC)[Intogen]"	" 6"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 5"	"Prostatic Neoplasms[PharmGKB_associated]"	" 6"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 5"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 7"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 7"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 9"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 6"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 7"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 7"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 8"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 8"	"lung carcinoma (EFO_0001071)[ThETA]"	" 9"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	" 9"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 9"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 8"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"10"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 9"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 9"
"Breast carcinoma (EFO_0000305)[ThETA]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"10"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"10"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
