"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 1"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 1"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 3"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"Ovary cancer (OV)[Intogen]"	" 2"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 2"
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	" 3"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 4"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 3"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 3"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 3"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 5"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 5"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 4"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 4"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 5"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 6"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 5"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 6"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 5"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 6"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 7"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	" 6"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 6"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 6"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 8"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 7"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 7"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 6"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 8"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 9"	"lung carcinoma (EFO_0001071)[ThETA]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 9"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 7"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 8"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"10"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 9"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 9"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"10"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"10"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	"10"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"10"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	"11"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
"Breast Neoplasms[PharmGKB_associated]"	"11"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"10"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	"11"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"11"	"Prostatic Neoplasms[PharmGKB_associated]"	"11"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	"11"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	"13"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	"13"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"12"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"12"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"13"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"13"	"Ovarian Neoplasms[PharmGKB_associated]"	"13"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"13"	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"15"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	"14"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	"14"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"13"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"16"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"16"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"15"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"14"	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"16"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"16"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"16"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"16"	NA	NA
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	"18"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"17"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"17"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"16"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"18"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"17"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	"17"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"19"	NA	NA	"Lung squamous cell carcinoma (LUSC)[Intogen]"	"18"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	"19"	NA	NA	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	"20"	NA	NA	"Non small cell lung cancer (NSCLC)[Intogen]"	"19"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"20"	NA	NA	NA	NA
"Breast Neoplasms, Male[PharmGKB_associated]"	"20"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"21"	NA	NA	NA	NA	NA	NA
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"21"	NA	NA	"Lung neuroendocrine cancer (LNET)[Intogen]"	"22"	NA	NA	NA	NA	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
