"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 1"	"Ovary cancer (OV)[Intogen]"	" 1"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 2"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 3"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 3"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 3"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 3"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 3"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 4"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 4"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	" 4"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 5"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 4"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 5"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 6"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 6"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 5"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 6"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 7"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 6"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 6"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 7"
"Breast Neoplasms[PharmGKB_associated]"	" 7"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 7"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 7"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 7"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 7"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 7"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 8"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 7"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 8"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 8"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"10"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 9"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 8"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	" 9"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	"10"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"10"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	"10"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 9"	"Ovarian Neoplasms[PharmGKB_associated]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	"11"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	"10"	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"10"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"12"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	"11"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"11"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"12"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	"12"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"12"	"Prostatic Neoplasms[PharmGKB_associated]"	"12"	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"13"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"14"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"13"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"14"	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"14"	NA	NA	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"15"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"15"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"15"	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	"14"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"17"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"16"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"15"	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	"16"	NA	NA	"Lung neuroendocrine cancer (LNET)[Intogen]"	"18"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"16"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"16"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"17"	NA	NA	"Small-cell lung cancer (SCLC)[Intogen]"	"18"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"17"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"16"	NA	NA
