"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	"1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	"1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	"1"	"Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"
"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"2"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 2"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"2"	"Poisoning (12.03.01.004) [ADReCS]"	"2"	"Poisoning (12.03.01.004) [ADReCS]"	" 2"
"Poisoning (12.03.01.004) [ADReCS]"	" 3"	"Poisoning (12.03.01.004) [ADReCS]"	"3"	"Poisoning (12.03.01.004) [ADReCS]"	" 3"	"Poisoning (12.03.01.004) [ADReCS]"	"3"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	"3"	"Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 3"
"Drug toxicity (C0013221) [DisGeNET]"	" 4"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"4"	"Drug toxicity (C0013221) [DisGeNET]"	" 4"	"Drug toxicity (C0013221) [DisGeNET]"	"4"	"Drug toxicity (C0013221) [DisGeNET]"	"4"	"Drug toxicity (C0013221) [DisGeNET]"	" 4"
"Adverse reaction (08.06.01.018) [ADReCS]"	" 5"	"Drug toxicity (C0013221) [DisGeNET]"	"5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 5"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"5"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"6"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 6"
"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"Cardiotoxicity (MESH:D066126) [CTD]"	"6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"6"	"Adverse reaction (08.06.01.018) [ADReCS]"	"6"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"
"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 7"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"8"	"Adverse reaction (08.06.01.018) [ADReCS]"	" 7"	"Adverse reaction (08.06.01.018) [ADReCS]"	"7"	"Cardiotoxicity (MESH:D066126) [CTD]"	"7"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"
"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 7"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"8"	"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Cardiotoxicity (C0876994) [DisGeNET]"	"8"	"Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"8"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 8"
"Cardiotoxicity (C0876994) [DisGeNET]"	" 8"	"Adverse reaction (08.06.01.018) [ADReCS]"	"9"	"Cardiotoxicity (MESH:D066126) [CTD]"	" 9"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"9"	"Cardiotoxicity (C0876994) [DisGeNET]"	"8"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 9"
"Cardiotoxicity (MESH:D066126) [CTD]"	"10"	"Cardiotoxicity (C0876994) [DisGeNET]"	"9"	"Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	"10"	"Cardiotoxicity (MESH:D066126) [CTD]"	"9"	"Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"9"	"Adverse reaction (08.06.01.018) [ADReCS]"	"10"
