"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 1"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 1"	"Ovary cancer (OV)[Intogen]"	" 1"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 2"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	" 3"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 2"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 2"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 3"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 4"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 4"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 3"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 4"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 4"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 4"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	" 4"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 4"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 4"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 5"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 5"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 6"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 5"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 5"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 5"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 6"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 6"	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	" 6"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 6"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 6"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 6"
"Breast Neoplasms[PharmGKB_associated]"	" 7"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 7"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 7"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 7"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 6"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 7"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 9"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 8"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 8"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 8"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 8"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 9"	"Non small cell lung cancer (NSCLC)[Intogen]"	"10"	"Ovarian Neoplasms[PharmGKB_associated]"	" 9"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 9"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 9"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 9"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 9"	"Lung adenocarcinoma (LUAD)[Intogen]"	"10"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"10"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
