"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 1"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 1"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 2"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"Ovary cancer (OV)[Intogen]"	" 2"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 2"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 2"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 3"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 3"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 3"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 3"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 3"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 3"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 4"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 4"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 4"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 4"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 4"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 6"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 5"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 5"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 5"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	" 5"
"Breast Neoplasms[PharmGKB_associated]"	" 6"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 6"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 6"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	" 6"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 6"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 6"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 7"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 7"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 7"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 7"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 7"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 7"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 8"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 8"	"Small-cell lung cancer (SCLC)[Intogen]"	" 8"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	" 8"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 8"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 8"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 9"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 9"	"lung carcinoma (EFO_0001071)[ThETA]"	" 9"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 9"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"10"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 9"
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"10"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	"10"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"10"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	"10"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"10"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	"10"
