"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	" 1"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	" 2"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	" 1"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 1"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 1"
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	" 2"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	" 2"	"Ovary cancer (OV)[Intogen]"	" 2"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	" 2"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 2"
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	" 4"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	" 3"	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	" 2"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	" 3"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	" 3"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 4"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 4"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 4"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 4"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	" 5"	"Prostate adenocarcinoma (PRAD)[Intogen]"	" 4"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 4"
"Breast Neoplasms[PharmGKB_associated]"	" 5"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 6"	"Non small cell lung cancer (NSCLC)[Intogen]"	" 5"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 5"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 5"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 4"
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	" 5"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 6"	"Small-cell lung cancer (SCLC)[Intogen]"	" 6"	"Ovarian Neoplasms[PharmGKB_associated]"	" 6"	"Prostate carcinoma (EFO_0001663)[ThETA]"	" 6"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 6"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	" 7"	"Renal clear cell carcinoma (RCCC)[Intogen]"	" 7"	"Lung adenocarcinoma (LUAD)[Intogen]"	" 8"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 8"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	" 7"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 7"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 8"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 7"	"lung carcinoma (EFO_0001071)[ThETA]"	" 9"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 9"	"Prostatic Neoplasms[PharmGKB_associated]"	" 8"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	" 8"
"Breast carcinoma (EFO_0000305)[ThETA]"	" 9"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 9"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	" 9"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	"10"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 9"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	" 9"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 9"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	"10"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"11"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	"10"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	"10"
