"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 2"	"[DrgDis] kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 1"	"[DrgDis] non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 1"	"[DrgDis] ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 1"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 1"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 3"	"[DrgDis] renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 2"	"[DrgDis] lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 2"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"	"[DrgDis] Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	" 3"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 2"
"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 3"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 3"	"[DrgDis] Ovary cancer (OV)[Intogen]"	" 4"	"[DrgDis] Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	" 3"	"[DrgDis] skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 3"
"[DrgDis] Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 4"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 4"	"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 4"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 5"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 4"	"[DrgDis] In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 4"
"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 5"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 5"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	" 5"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 6"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	" 5"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	" 5"
"[DrgDis] triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 6"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	" 6"	"[DrgDis] small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	" 6"	"[DrgDis] ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 6"	"[DrgDis] Prostate adenocarcinoma (PRAD)[Intogen]"	" 6"	"[DrgDis] Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 6"
"[DrgDis] breast cancer (MONDO_0007254)[OpenTargets_literature]"	" 7"	"[DrgDis] kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 7"	"[DrgDis] Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	" 7"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	" 6"	"[DrgDis] prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 6"	"[DrgAdr] Neurotoxicity Syndromes (C0235032) [DisGeNET]"	" 7"
"[DrgAdr] Neurotoxicity (12.03.01.011) [ADReCS]"	" 7"	"[DrgDis] Carcinoma, Renal Cell[PharmGKB_associated]"	" 8"	"[DrgDis] Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	"10"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	" 8"	"[DrgAdr] Chemical and Drug Induced Liver Injury (MESH:D056486) [CTD]"	" 9"	"[DrgDis] Cutaneous melanoma of the skin (CM)[Intogen]"	" 8"
"[DrgDis] Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	" 9"	"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	"11"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	" 9"	"[DrgAdr] Drug toxicity (C0013221) [DisGeNET]"	"11"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"10"
"[DrgDis] Breast Neoplasms[PharmGKB_associated]"	"10"	"[DrgDis] Kidney Neoplasm (C0022665)[DisGeNET_curated]"	"10"	"[DrgDis] Lung adenocarcinoma (LUAD)[Intogen]"	"11"	"[DrgDis] Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	" 9"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"11"	"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"10"
"[DrgAdr] Poisoning (12.03.01.004) [ADReCS]"	"11"	"[DrgDis] Chromophobe renal cell carcinoma (RCH)[Intogen]"	"12"	"[DrgAdr] Chemically-Induced Liver Toxicity (C4279912) [DisGeNET]"	"12"	"[DrgDis] Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"10"	"[DrgDis] prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"12"	"[DrgAdr] Neurotoxicity Syndromes (MESH:D020258) [CTD]"	"10"
"[DrgDis] Breast adenocarcinoma (BRCA)[Intogen]"	"12"	"[DrgDis] Renal papillary cell carcinoma (RPC)[Intogen]"	"13"	"[DrgDis] Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"12"	"[DrgDis] ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"12"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	"13"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"12"
"[DrgAdr] Adverse reaction (08.06.01.018) [ADReCS]"	"13"	"[DrgDis] Renal carcinoma (EFO:0002890)[ThETA]"	"13"	"[DrgDis] Lung squamous cell carcinoma (LUSC)[Intogen]"	"13"	"[DrgDis] Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	"13"	"[DrgDis] prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	"13"	"[DrgDis] Skin squamous cell carcinoma (SSCC)[Intogen]"	"13"
"[DrgDis] breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	"14"	"[DrgAdr] Cardiotoxicity (C0876994) [DisGeNET]"	"14"	"[DrgDis] Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"14"	"[DrgDis] Ovarian carcinoma (EFO_0001075)[ThETA]"	"14"	"[DrgAdr] Cardiotoxicity (MESH:D066126) [CTD]"	"14"	"[DrgDis] skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"13"
