"BreastCancer.TopK_median"	"BreastCancer.Scores_median"	"KidneyCancer.TopK_median"	"KidneyCancer.Scores_median"	"LungCancer.TopK_median"	"LungCancer.Scores_median"	"OvaryCancer.TopK_median"	"OvaryCancer.Scores_median"	"ProstateCancer.TopK_median"	"ProstateCancer.Scores_median"	"SkinCancer.TopK_median"	"SkinCancer.Scores_median"
"Malignant neoplasm of breast (C0006142)[DisGeNET_curated]"	" 1"	"kidney neoplasm (EFO_0003865)[OpenTargets_literature]"	" 1"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_literature]"	" 1"	"Ovary cancer (OV)[Intogen]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_RNA]"	" 1"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Up]"	" 1"
"breast carcinoma (EFO_0000305)[OpenTargets_literature]"	" 2"	"kidney cancer (MONDO_0002367)[OpenTargets_literature]"	" 2"	"lung cancer (MONDO_0008903)[OpenTargets_literature]"	" 2"	"ovarian clear cell cancer (MONDO_0000548)[OpenTargets_literature]"	" 2"	"prostate carcinoma (EFO_0001663)[OpenTargets_literature]"	" 2"	"Skin squamous cell carcinoma (SSCC)[Intogen]"	" 2"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Down]"	" 3"	"Chromophobe renal cell carcinoma (RCH)[Intogen]"	" 3"	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_RNA]"	" 3"	"ovarian cancer (MONDO_0008170)[OpenTargets_GA]"	" 3"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Up]"	" 4"	"In situ melanoma of skin GSE4587[Enrichr_GeoDiseaseSig_Down]"	" 3"
"triple-negative breast cancer (EFO_0005537)[OpenTargets_literature]"	" 4"	"Renal papillary cell carcinoma (RPC)[Intogen]"	" 4"	"lung carcinoma (EFO_0001071)[OpenTargets_RNA]"	" 4"	"Ovarian clear cell carcinoma (C3544205)[DisGeNET_curated]"	" 4"	"prostate cancer (MONDO_0008315)[OpenTargets_literature]"	" 5"	"Cutaneous melanoma of the skin (CM)[Intogen]"	" 4"
"Breast adenocarcinoma (BRCA)[Intogen]"	" 5"	"kidney cancer (MONDO_0002367)[OpenTargets_GA]"	" 5"	"Non-Small Cell Lung Carcinoma (C0007131)[DisGeNET_curated]"	" 5"	"Ovarian Endometrioid Adenocarcinoma (EFO_1000416)[OpenTargets_literature]"	" 6"	"Prostate Small Cell Carcinoma (EFO_1000499)[OpenTargets_literature]"	" 6"	"Malignant neoplasm of skin (C0007114)[DisGeNET_curated]"	" 5"
"Breast Neoplasms[PharmGKB_associated]"	" 6"	"Renal carcinoma (EFO:0002890)[ThETA]"	" 6"	"Carcinoma of lung (C0684249)[DisGeNET_curated]"	" 6"	"ovarian cancer (MONDO_0008170)[OpenTargets_literature]"	" 8"	"prostate carcinoma (EFO_0001663)[OpenTargets_GA]"	" 6"	"skin cancer (MONDO_0002898)[OpenTargets_literature]"	" 6"
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Down]"	" 7"	"Carcinoma, Renal Cell[PharmGKB_associated]"	" 8"	"small cell lung carcinoma (EFO_0000702)[OpenTargets_RNA]"	" 7"	"ovarian carcinoma (EFO_0001075)[OpenTargets_GA]"	" 8"	"metastatic prostate cancer (EFO_0000196)[OpenTargets_literature]"	" 7"	"Skin basal cell carcinoma (SBCC)[Intogen]"	" 7"
"breast carcinoma (EFO_0000305)[OpenTargets_RNA]"	" 9"	"renal carcinoma (EFO_0002890)[OpenTargets_literature]"	" 9"	"Lung squamous cell carcinoma (LUSC)[Intogen]"	" 8"	"Ovarian Carcinoma (C0029925)[DisGeNET_curated]"	" 8"	"prostate cancer (MONDO_0008315)[OpenTargets_GA]"	" 7"	"Merkel cell skin cancer (EFO_1001471)[OpenTargets_literature]"	" 9"
"Breast Cancer GSE2429[Enrichr_GeoDiseaseSig_Up]"	" 9"	"Kidney Neoplasm (C0022665)[DisGeNET_curated]"	" 9"	"Small-cell lung cancer (SCLC)[Intogen]"	" 9"	"Ovarian Neoplasms[PharmGKB_associated]"	" 9"	"Prostate carcinoma (EFO_0001663)[ThETA]"	"11"	"Stage IV Skin Melanoma (C1321872)[DisGeNET_curated]"	" 9"
"Breast carcinoma (EFO_0000305)[ThETA]"	"10"	"Renal clear cell carcinoma (RCCC)[Intogen]"	"10"	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Up]"	"12"	"Carcinoma, Ovarian Epithelial (C4721610)[DisGeNET_curated]"	"10"	"Prostatic Neoplasms[PharmGKB_associated]"	"11"	"skin carcinoma (EFO_0009259)[OpenTargets_literature]"	"10"
"breast tumor luminal (EFO_0000306)[OpenTargets_literature]"	"11"	"kidney neoplasm (EFO_0003865)[OpenTargets_GA]"	"10"	"lung carcinoma (EFO_0001071)[ThETA]"	"12"	"Ovarian adenocarcinoma (C0948216)[DisGeNET_curated]"	"11"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_GA]"	"12"	"skin squamous cell carcinoma (MONDO_0002529)[OpenTargets_literature]"	"11"
"breast cancer (MONDO_0007254)[OpenTargets_literature]"	"12"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_literature]"	"12"	"Ovarian Mucinous Adenocarcinoma (C1335167)[DisGeNET_curated]"	"12"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_RNA]"	"12"	NA	NA
"Breast Carcinoma (C0678222)[DisGeNET_curated]"	"12"	NA	NA	"small cell lung carcinoma (EFO_0000702)[OpenTargets_literature]"	"14"	"Ovarian carcinoma (EFO_0001075)[ThETA]"	"14"	"Malignant neoplasm of prostate (C0376358)[DisGeNET_curated]"	"13"	NA	NA
"breast carcinoma (EFO_0000305)[OpenTargets_GA]"	"13"	NA	NA	"Non small cell lung cancer (NSCLC)[Intogen]"	"15"	"Ovarian Serous Adenocarcinoma (C1335177)[DisGeNET_curated]"	"15"	"prostate adenocarcinoma (EFO_0000673)[OpenTargets_literature]"	"14"	NA	NA
"breast cancer (MONDO_0007254)[OpenTargets_GA]"	"15"	NA	NA	"Adenocarcinoma of lung GSE1037[Enrichr_GeoDiseaseSig_Down]"	"15"	"Malignant neoplasm of ovary (C1140680)[DisGeNET_curated]"	"16"	"Cancer of prostate GSE1413[Enrichr_GeoDiseaseSig_Down]"	"14"	NA	NA
"Triple Negative Breast Neoplasms (C3539878)[DisGeNET_curated]"	"15"	NA	NA	"Carcinoma, Non-Small-Cell Lung[PharmGKB_associated]"	"16"	"ovarian carcinoma (EFO_0001075)[OpenTargets_literature]"	"17"	"Adenocarcinoma of prostate (C0007112)[DisGeNET_curated]"	"15"	NA	NA
"Inflammatory Breast Carcinoma (C0278601)[DisGeNET_curated]"	"17"	NA	NA	"Small cell carcinoma of lung (C0149925)[DisGeNET_curated]"	"16"	"Endometrioid carcinoma ovary (C0346163)[DisGeNET_curated]"	"18"	"Prostate adenocarcinoma (PRAD)[Intogen]"	"17"	NA	NA
"Breast adenocarcinoma (C0858252)[DisGeNET_curated]"	"18"	NA	NA	"Lung neuroendocrine cancer (LNET)[Intogen]"	"17"	"Small cell carcinoma of ovary (C2212006)[DisGeNET_curated]"	"18"	NA	NA	NA	NA
"Invasive Ductal Breast Carcinoma (C1134719)[DisGeNET_curated]"	"18"	NA	NA	"non-small cell lung carcinoma (EFO_0003060)[OpenTargets_GA]"	"17"	"ovarian endometrial cancer (MONDO_0003812)[OpenTargets_literature]"	"19"	NA	NA	NA	NA
"triple-negative breast cancer (EFO_0005537)[OpenTargets_GA]"	"19"	NA	NA	"lung carcinoma (EFO_0001071)[OpenTargets_GA]"	"19"	"ovarian carcinoma (EFO_0001075)[OpenTargets_RNA]"	"19"	NA	NA	NA	NA
"Breast Cancer GSE3744[Enrichr_GeoDiseaseSig_Up]"	"21"	NA	NA	"Lung adenocarcinoma (LUAD)[Intogen]"	"19"	NA	NA	NA	NA	NA	NA
"Sporadic Breast Carcinoma (C1336076)[DisGeNET_curated]"	"22"	NA	NA	"lung cancer (MONDO_0008903)[OpenTargets_GA]"	"20"	NA	NA	NA	NA	NA	NA
"Breast Neoplasms, Male[PharmGKB_associated]"	"22"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
